symbol,date,year,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
CMCSA,2013-12-31,2013,24.631238095238096,2.5965714285714285,5.394285714285714,2.8815238095238094,0.6544761904761904,19.312,44.51733333333333,19.312,19.208,6.447E10,1.10599E11,9.45862676056338,0.9971078150857602,4.552966101694915,8.523268112109994,1.2717481358740679,1.2717481358740679,1.7105495151337056,3.7260047838830306,7.8106638418079095,14.621760973030144,0.1057235923685435,0.1173258880099271,2.1327770544837654,0.6807943934060814,1.5540545093150961,0.7442364636209814,5.269230769230769,2.0774647887323945,0.030463781603846753,0.2881455399061033,0.0,0.0,0.2641786251755209,2.146755609460279,9.802456033959976,2.4439053972104308,0.006480350155435606,33.58961472156025,0.09694712689687708,0.05832720053398141,-37.350857142857144,-4.837E9,8.739E9,-9.4044E10,81311000000.0,7.461E9,6.227E9,0.0,35.99362791345098,43.744607046070456,0.0,10.140683814303639,8.343885672937772,0.0,0.13445378151260504,2.5127619047619048
CMCSA,2012-12-31,2012,23.364451082897684,2.3162808065720686,5.546676624346527,3.4129947722180733,4.08924570575056,18.430171769977594,44.86407766990291,18.430171769977594,16.048917102315162,4.965012E10,7.915712E10,8.00421086571014,0.7935131852325396,3.342542076208429,5.4321794310722105,1.0059591539022612,1.0059591539022612,1.265097011347291,2.689583092657402,5.329010367577757,8.660516411378556,0.12493423983668116,0.18408817541629305,2.3424710268255127,0.7008201441465469,1.0025823111684957,1.196063180567189,4.831019436731456,2.394647751088183,0.032386628672800795,0.2592294051265517,0.0,0.0,0.27171442253486977,2.5995799789989498,10.950297514875745,3.0192509625481274,0.005929359117788077,30.992139253108572,0.08214789183647316,0.05162885156393055,-36.990011202389844,3.277E9,4.531E9,-9.5624E10,72666000000.0,7.0335E9,6.566E9,0.0,32.20656864311971,49.692655317655316,0.0,11.333091831190002,7.345149854979052,0.0,0.12567874219952996,2.133681852128454
CMCSA,2011-12-31,2011,20.335761107064823,1.5149308084486526,5.223962126729789,3.291332847778587,0.5899490167516388,17.215586307356155,41.070284049526585,17.215586307356155,15.227239621267298,3.1002339999999996E10,6.869134E10,7.452485576923077,0.5551796139106765,2.161194841408156,3.430221287895552,0.6558010745864534,0.6558010745864534,1.2301017155546006,2.7319177537384665,4.7885214360404325,7.600281035627352,0.1341834197031579,0.2915263815570051,2.3383678131742607,0.7004524198760598,1.4989261851734013,0.647458651159278,4.279840319361277,3.4483173076923075,0.03828743249703087,0.28533653846153845,0.0,0.0,0.2853856974489602,2.703033729037121,10.52232899943471,2.7177312982852837,0.006160237813831883,24.224151107040136,0.07415425690116685,0.0368862997543869,-37.375364166059725,-4.668E9,2.235E9,-1.01971E11,76864000000.0,6.4485E9,6.3155E9,0.0,28.439436266609363,272.69840230487165,0.0,12.834290967593656,1.3384750219106047,0.0,0.08799763083301604,1.9326292789512018
CMCSA,2010-12-31,2010,13.510327635327636,1.2945156695156694,3.9811253561253563,2.2143874643874644,2.131054131054131,15.795584045584045,35.60327635327636,15.795584045584045,11.95548433048433,2.925936E10,5.469036E10,8.04934250343879,0.7712618288214671,2.6173503891224614,4.705590221936314,0.6596780448212112,0.6596780448212112,1.4416100376940717,3.7469416278432446,4.892240808659093,8.795490511418462,0.12423374947367269,0.2125131923596415,1.6724534427560085,0.625812003307068,1.742326664839682,1.0791838717512752,3.7012987012987013,3.075378266850069,0.036364431757905845,0.29270976616231087,0.2132746395339642,0.2132746395339642,0.1565795467966997,2.2533763354162466,7.647046966337432,1.333602096351542,0.007907847220391702,21.449282010445145,0.07234814143245694,0.03635945345789905,-23.76201923076923,6.52E8,2.5794E10,-6.5294E10,57778000000.0,5.2005E9,5.1085E9,0.0,17.847352189155707,181.5621221281741,0.0,20.45121293800539,2.0103312063202674,0.0,0.08195427695360058,1.7667378917378918
CMCSA,2009-12-31,2009,6.262690807134463,0.6371984885433264,1.8007250304326383,0.813049858113832,0.11752616432451127,7.4826158958382205,5.997687697413173,7.4826158958382205,5.507440701967112,4.270606489072E10,7.113106489072E10,11.738885346542055,1.1943747871887236,4.15388239380605,9.1999278092891,0.9996504035654596,0.9996504035654596,1.9893462605078869,5.093888920847895,6.918691264538469,15.323365982490307,0.08518696370900085,0.10869650509543209,1.6367126237681702,0.6202442940398996,2.035591521054139,0.44461305007587254,3.1788756388415673,2.826003298515668,0.017819483062822883,0.20918086860912588,0.616455979416042,0.616455979416042,0.6962468842308818,-1.8231956020571023,-6.34084057456996,-1.1526866465685406,0.0071876048775030765,10.35750981807469,0.07075954647150279,0.10624069152819554,-11.895845971760172,-4.026E9,-3.5679E10,-6.6699E10,55419000000.0,5.1285E9,5.01E9,0.0,17.466019689003243,31.5838,0.0,20.89772063120982,0.0,0.0,0.08515718265021886,-0.9876751723188063
SIRI,2013-12-31,2013,0.6100370830326579,0.06057104080739335,0.17708649464018988,0.149208063528338,0.021646220738943737,0.44089564499973183,0.632689301864621,0.44089564499973183,0.03875107865797125,2.24195256E10,2.23213776E10,59.43434274883025,5.901280594457364,20.329048848782048,24.12738236037946,8.16519745846478,8.16519745846478,5.8754460206970345,17.19850924632493,20.240052519332046,24.021757720226212,0.01682528911316482,0.04144668431342722,2.221271335762792,0.689563561784465,-0.0756225406763559,0.5180951942820924,5.10357109702889,2.9236165051760934,0.0,0.0,0.14560283435923554,0.14560283435923554,0.5545208586307404,6.352096856874615,21.88204496103492,1.4590391493920527,0.018129580860704982,0.7751605848882651,0.17107340535575893,0.0957358384737695,-0.7600144179678806,-1.319891E9,-2.158873E9,-4.680025E9,4668051000.0,9.73895E7,2.91334E8,1.80305E7,9.985800565661032,7972.337223355239,191.1018581463857,36.55190163271982,0.04578331169066956,1.9099761956286518,0.13738180790474852,0.027878431111851894
SIRI,2012-12-31,2012,0.8082634822441901,0.8250515018390036,0.19167284577863106,0.16855777982467873,0.12376715728142515,0.9597279495984032,1.1213556999367795,0.9597279495984032,0.06854739749108651,1.325857995E10,1.276083495E10,3.8179434774420606,3.89724399184019,16.43425278736683,18.68795378816923,3.282180123354866,3.282180123354866,3.7509361882870276,11.210235215053764,15.817288739595794,17.986382760700916,0.26192111169492177,0.05351040629354881,1.2415391261187776,0.5538779634279689,-0.4372628083491461,0.78985201686002,3.2866791546843257,0.23231621947405795,0.02466795095955959,0.09418084246791115,0.15014814640627389,0.15014814640627389,0.47874656689243533,8.292117624083952,34.966955484978364,2.737041719342604,0.018759920518277268,4.220907744655547,0.12937566902142425,0.7357625255621556,-0.7693705953781272,-4.86406E8,-2.9541E8,-3.187096E9,4319555000.0,9.8492E7,2.959935E8,2.37675E7,11.387823188439878,6752.281684820248,291.129037335516,32.05177969135686,0.05405580173299844,1.2537395903224533,0.859672266692082,0.02311506595395233
SIRI,2011-12-31,2011,0.805,0.114,0.1452,0.108,0.2067,0.188,0.825,0.188,0.8049,6975895232.88,9215879232.88,26.5714,2.3141,12.8321,17.1466,9.9096,0.0,3.0572,9.0885,16.9525,22.688,0.0376,0.0582,4.2803,0.4021,2.209,0.568,2.4468,1.2733,0.0,0.0,0.2972,0.0177,0.5881,0.2528,0.0456,-0.513,0.0176,0.5442,0.0944,0.6071,-0.7906,-970642000.0,3087502000.0,-5514897000.0,3079890000.0,187878000.0,568183500.0,29314500.0,22.5842,65.7701,-11.9521,16.0451,1.3794,102.8339,0.6064,-0.0367
SIRI,2010-12-31,2010,0.7627,0.0117,0.1389,0.054,0.1589,0.056,0.789,0.0562,0.8712,6399216378.97,9030103378.97,163.0,2.2716,12.4767,29.9463,29.1567,0.0,3.2056,14.6353,17.6061,44.9199,0.0061,0.0314,15.4962,0.4358,4.2639,0.422,1.1613,11.9126,0.0,0.0,0.3087,0.0161,0.6051,0.6081,0.1107,-1.1395,0.0215,0.1122,0.0627,0.1067,-0.9663,-1357934000.0,2915542000.0,-6183675000.0,3196720000.0,175776000.0,568430000.0,19055500.0,24.5192,76.858,-7.2779,16.026,1.2946,147.8309,0.2074,-0.0844
SIRI,2009-12-31,2009,0.6408032743821557,-0.09123337225543945,0.11243040207471154,0.04802685310394272,0.09938414231664258,0.024755265580943216,0.7236293104144069,0.024755265580943216,0.8792784120543661,3.24126920544E9,5.934943205440001E9,-9.207157197348014,1.31085472496985,7.471288766198741,17.490215279814805,33.9321748439103,33.9321748439103,2.40024751113588,21.26754797495888,13.680343004033839,32.02555164575678,-0.10861115744695174,0.05717482512374133,75.65465547203786,0.986954477926461,9.652635086952316,0.41402437879248266,-0.09626886475664305,-1.232338554360609,0.0,0.0,0.32233428427452787,0.32233428427452787,0.6186620534849744,-1.7457174933906345,-9.949813086744651,-1.2452165095307652,0.029919866959902744,0.22542491676973145,-0.005793274890312102,-0.12607749705880772,-1.739819201236165,-1.216861E9,-4.434449E9,-6.366904E9,3409268000.0,1.2658E8,2.740105E8,1.91955E7,23.96067277134785,186.5074228765197,5.554887745204923,15.233295136706959,1.9570266661271396,65.70789847464954,-3.685412784489437,-0.06440354897076883
