symbol,date,year,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
LCII,2014-12-31,2014,1190782000.0,0.172518846448,935859000.0,254923000.0,0.0,157482000.0,157482000.0,95487000.0,0.0,95057000.0,32791000.0,0.0,0.0,62266000.0,0.0,62266000.0,2.6,2.56,23911000.0,24334000.0,0.0,0.214080327046,0.10756208945,0.080188481183,0.0522900077428,0.054218152441,128083000.0,95487000.0,62266000.0,0.0798273739442,0.0522900077428,4000.0,0.0,4000.0,37987000.0,132492000.0,207636000.0,146788000.0,163480000.0,0.0,11744000.0,336205000.0,543841000.0,49534000.0,0.0,107185000.0,15650000.0,15650000.0,0.0,0.0,0.0,60467000.0,148943000.0,117719000,276914000.0,394898000.0,0.0,15646000.0,0.0,0.0,32596000.0,10817000.0,107020000.0,42458000.0,-106782000.0,0.0,-144074000.0,-0.0,-4000.0,-0.0,-29222000.0,0.0,-66276000.0,64562000.0,0.0
LCII,2013-12-31,2013,1015576000.0,0.127011517851,802467000.0,213109000.0,0.0,132935000.0,132935000.0,78298000.0,0.0,77947000.0,27828000.0,0.0,0.0,50119000.0,0.0,50119000.0,2.15,2.11,23321000.0,23753000.0,0.0,0.209840523998,0.104175364522,0.0770971350249,0.0493503194246,0.0493138868977,105798000.0,78298000.0,50119000.0,0.0767515183502,0.0493503194246,66280000.0,0.0,66280000.0,31015000.0,101211000.0,225530000.0,125982000.0,80937000.0,0.0,12236000.0,227654000.0,453184000.0,24063000.0,0.0,118191000.0,0.0,0.0,0.0,0.0,0.0,33937000.0,139571000.0,96893000,216459000.0,313613000.0,0.0,-66280000.0,0.0,0.0,27500000.0,10839000.0,82677000.0,32595000.0,-4750000.0,0.0,-36055000.0,-0.0,-66280000.0,-0.0,9719000.0,0.0,56341000.0,50082000.0,0.0
LCII,2012-12-31,2012,901123000.0,0.322912476548,732464000.0,168659000.0,0.0,109071000.0,109071000.0,58132000.0,0.0,57802000.0,20462000.0,0.0,0.0,37340000.0,0.0,37340000.0,1.66,1.64,22558000.0,22828000.0,0.0,0.187165348127,0.0929917447452,0.0645106161978,0.0414371844909,0.0451248053817,83797000.0,58132000.0,37340000.0,0.0641444064795,0.0414371844909,9939000.0,0.0,9939000.0,21846000.0,97367000.0,154023000.0,107936000.0,90395000.0,0.0,14993000.0,219845000.0,373868000.0,21725000.0,0.0,69780000.0,0.0,0.0,0.0,0.0,0.0,29916000.0,89623000.0,70945000,213046000.0,284245000.0,0.0,-9939000.0,0.0,0.0,25665000.0,6318000.0,72689000.0,32026000.0,-1473000.0,0.0,-28198000.0,-0.0,-9939000.0,-0.0,-41136000.0,0.0,3355000.0,40663000.0,0.0
LCII,2011-12-31,2011,681166000.0,0.189279884069,541445000.0,139721000.0,0.0,91252000.0,91252000.0,48548000.0,0.0,48256000.0,18197000.0,0.0,0.0,30059000.0,0.0,30059000.0,1.35,1.34,22267000.0,22444000.0,0.0,0.205120337774,0.10139965882,0.0712719072884,0.0441287439479,0.018371439561,69070000.0,48548000.0,30059000.0,0.0708432305782,0.0441287439479,6584000.0,0.0,6584000.0,22620000.0,92052000.0,137568000.0,95050000.0,99558000.0,0.0,14496000.0,213515000.0,351083000.0,15742000.0,0.0,51911000.0,0.0,0.0,0.0,0.0,0.0,32001000.0,73787000.0,54922000,222126000.0,277296000.0,0.0,-6584000.0,0.0,0.0,20522000.0,4587000.0,36831000.0,24317000.0,-50302000.0,-626000.0,-69124000.0,-0.0,-626000.0,-0.0,-3000.0,0.0,-32296000.0,12514000.0,0.0
LCII,2010-12-31,2010,572755000.0,0.439665291739,446585000.0,126170000.0,0.0,80742000.0,80742000.0,45428000.0,218000.0,45210000.0,17176000.0,0.0,0.0,28034000.0,0.0,28034000.0,1.27,1.26,21974427.0,22123000.0,1.5,0.2203,0.109,0.0793,0.049,0.0588,62515000.0,45428000.0,28034000.0,0.0789,0.0489,38880000.0,4999000.0,43879000.0,12890000.0,69328000.0,142865000.0,79848000.0,64916000.0,0.0,27912000.0,163916000.0,306781000.0,11351000.0,0.0,45074000.0,0.0,0.0,0.0,0.0,0.0,18248000.0,63322000.0,0.0,192067000.0,243459000.0,4999000.0,-43879000.0,16768000.0,33723000.0,17087000.0,4176000.0,42063000.0,-8360000.0,-21900000.0,8015000.0,-22548000.0,0.0,-1041000.0,-33032000.0,-33000000.0,0.0,-13485000.0,33703000.0,0.0879
LCII,2009-12-31,2009,397839000.0,-0.2207,319129000.0,78710000.0,0.0,69489000.0,114529000.0,-35819000.0,789000.0,-36370000.0,-12317000.0,0.0,0.0,-24053000.0,0.0,-24053000.0,-1.1,-1.1,21910233.0,21807000.0,0.0,0.1978,-0.043,-0.0894,-0.06,0.1546,-17113000.0,-35581000.0,-24053000.0,-0.0914,-0.0605,52365000.0,12995000.0,65360000.0,12541000.0,57757000.0,149451000.0,80276000.0,39171000.0,0.0,16532000.0,138614000.0,288065000.0,7513000.0,0.0,35707000.0,0.0,0.0,0.0,0.0,0.0,8243000.0,43950000.0,0.0,197430000.0,244115000.0,12995000.0,-65360000.0,13793000.0,28194000.0,18468000.0,3494000.0,63256000.0,-1740000.0,-1679000.0,-12992000.0,-16445000.0,-8683000.0,0.0,0.0,-3138000.0,0.0,43673000.0,61516000.0,0.1445
RRGB,2019-12-29,2019,1315014000.0,-0.0175927468487,0.0,1315014000.0,0.0,155978000.0,914294000.0,-13127000.0,0.0,-22237000.0,-14334000.0,0.0,0.0,-7903000.0,0.0,-7903000.0,-0.61,-0.61,12959000.0,12959000.0,0.0,1.0,0.0598191350054,-0.00998240322917,-0.00600982194866,0.0440413562137,78663000.0,-13127000.0,-7903000.0,-0.0169100861284,-0.00600982194866,30045000.0,0.0,30045000.0,22372000.0,26424000.0,105487000.0,518013000.0,126372000.0,0.0,52438000.0,1132093000.0,1237580000.0,33040000.0,0.0,194586000.0,206875000.0,206875000.0,54223000.0,104000.0,0.0,217950000.0,877060000.0,11609000,353266000.0,360520000.0,0.0,176830000.0,0.0,464524000.0,91790000.0,3344000.0,57915000.0,0.0,-0.0,-3450000.0,-57030000.0,-0.0,-3450000.0,-0.0,9678000.0,0.0,11476000.0,57915000.0,0.0
RRGB,2018-12-30,2018,1338563000.0,-0.0306793470193,313504000.0,1025059000.0,0.0,146458000.0,485867000.0,-10485000.0,0.0,-21410000.0,-14991000.0,0.0,0.0,-6419000.0,0.0,-6419000.0,-0.49,-0.49,12976000.0,12976000.0,0.0,0.76579062771,0.0634157675059,-0.0078330269102,-0.00479544108122,0.09435118108,84886000.0,-10485000.0,-6419000.0,-0.0159947645348,-0.00479544108122,18569000.0,0.0,18569000.0,25034000.0,27370000.0,98549000.0,565142000.0,130447000.0,0.0,38688000.0,745392000.0,843941000.0,39024000.0,786000.0,171149000.0,193375000.0,194161000.0,55360000.0,304000.0,0.0,281420000.0,461136000.0,11247000,376341000.0,382805000.0,0.0,175592000.0,0.0,8567000.0,95371000.0,4048000.0,126295000.0,0.0,-0.0,-1474000.0,-49836000.0,289238000.0,-1474000.0,-0.0,-74298000.0,-1306000.0,855000.0,126295000.0,0.0
RRGB,2017-12-31,2017,1380929000.0,0.0651691824001,0.0,1380929000.0,0.0,150019000.0,452783000.0,39032000.0,0.0,29020000.0,-999000.0,0.0,0.0,30019000.0,0.0,30019000.0,2.33,2.31,12899000.0,12998000.0,0.0,1.0,0.0960367984161,0.0282650302803,0.021738264603,0.113406989063,132620000.0,39032000.0,30019000.0,0.0210148385616,0.021738264603,17714000.0,0.0,17714000.0,26499000.0,29553000.0,104804000.0,638151000.0,135252000.0,0.0,19932000.0,805811000.0,910615000.0,35347000.0,741000.0,160339000.0,266375000.0,267116000.0,55915000.0,287000.0,0.0,353386000.0,523180000.0,8223000,382760000.0,387435000.0,0.0,249402000.0,0.0,9455000.0,93588000.0,4788000.0,156607000.0,0.0,-0.0,0.0,-83290000.0,257215000.0,0.0,-0.0,-67924000.0,589000.0,5982000.0,156607000.0,0.0
RRGB,2016-12-25,2016,1296441000.0,0.0308915769184,0.0,1296441000.0,0.0,136859000.0,422789000.0,11570000.0,0.0,4788000.0,-6937000.0,0.0,0.0,11725000.0,0.0,11725000.0,0.88,0.87,13332000.0,13462000.0,0.0,1.0,0.0762240626453,0.00892443234979,0.00904399043227,0.0763297365634,98820000.0,11570000.0,11725000.0,0.00369318773473,0.00904399043227,11732000.0,0.0,11732000.0,24166000.0,29899000.0,92846000.0,656439000.0,138205000.0,0.0,13206000.0,825699000.0,918545000.0,13740000.0,658000.0,141009000.0,336375000.0,337033000.0,50199000.0,170000.0,0.0,419143000.0,570492000.0,302000,352741000.0,348053000.0,0.0,325301000.0,0.0,10340000.0,87250000.0,4545000.0,98957000.0,0.0,-39966000.0,-46078000.0,-199379000.0,233642000.0,-46078000.0,-0.0,89333000.0,116000.0,-10973000.0,98957000.0,0.0
RRGB,2015-12-27,2015,1257592000.0,0.0972775547028,0.0,1257592000.0,0.0,143079000.0,402154000.0,67045000.0,0.0,63236000.0,15532000.0,0.0,0.0,47704000.0,0.0,47704000.0,3.4,3.36,14042000.0,14216000.0,0.0,1.0,0.114456834967,0.0533122030038,0.0379328112774,0.112057805711,143940000.0,67045000.0,47704000.0,0.0502833987494,0.0379328112774,22705000.0,0.0,22705000.0,27760000.0,28223000.0,96740000.0,603686000.0,121530000.0,0.0,0.0,743239000.0,839979000.0,23392000.0,531000.0,177673000.0,202875000.0,203406000.0,48392000.0,228000.0,0.0,280554000.0,465668000.0,38656000,341016000.0,374311000.0,0.0,180701000.0,0.0,7441000.0,76895000.0,4724000.0,140923000.0,0.0,-2532000.0,-40009000.0,-169111000.0,352550000.0,-40009000.0,-0.0,28767000.0,-282000.0,22705000.0,140923000.0,0.0
