symbol,date,year,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
CMCSA,2010-12-31,2010,0.06099675578923817,0.06099675578923817,0.10618242306626005,0.10618242306626005,-0.4479040097205346,0.0,0.0,-0.4608918248824207,-0.45858794379217466,0.0,0.0,0.0,0.0,0.3413341081845465,0.3467743117604938,0.0,0.0,0.39455393617417034,0.0,2.0821801647828093,0.5410900823754978,0.0,-0.13223304841546316,0.17674499262264007,0.0,0.0,0.0,0.08416130917592052,0.0,0.5838110126802154,0.0,0.04036958537554643,0.0,0.0582003662045514
CMCSA,2011-12-31,2011,0.4719666816037114,0.4719666816037114,0.34348370927318295,0.34348370927318295,0.14442916093535077,0.1705426356589147,0.16279069767441856,-0.02207977207977208,-0.014893617021276596,0.1407898843978117,0.28320958940871277,0.4227384723688842,0.0,1.905951128611182,0.7379347765516774,0.0,1.8161131323511415,0.49482938743823224,0.0,1.1337053635320398,0.7412997792927772,0.0,0.4919334099040855,0.24598548829711625,0.0,0.0,1.3135162373603753,1.3455525606469003,0.0,0.33141545885568696,0.0,0.251281235078784,0.0,-1.0
CMCSA,2012-12-31,2012,0.12048279073099101,0.12048279073099101,0.13599477660665982,0.13599477660665982,0.4911057692307692,0.5364238410596025,0.5199999999999999,-0.024763292061179897,-0.021958243340532757,0.3890736903962709,0.035482746601603346,0.01645225136071252,0.0,1.3290806393584667,2.4035163369490635,0.0,0.9429530665911912,0.0,0.0,1.7574771499988595,0.8324096581280392,0.0,0.3730174383491351,1.2470314905075868,0.0,0.0,0.0,0.2689037002987819,0.0,0.0453243609727661,0.0,0.029229947340303746,0.0,0.0
CMCSA,2013-12-31,2013,0.03335464280006393,0.03335464280006393,0.1136382297397159,0.1136382297397159,0.09882315008866678,0.12068965517241391,0.12280701754385977,-0.019790888722927558,-0.019138755980861243,0.24605354181473577,-0.04672142183923522,-0.2022635998539613,0.0,1.1050348226389761,0.8231414337303574,0.0,0.5435672415566137,0.3549650492632869,0.0,1.9845648595129284,1.005824641383376,0.0,0.3977143339993078,0.2226201920909051,0.0,3.004373158237312,0.974547798066595,0.15486324941133853,0.0,-0.03732777276006086,0.0,0.1826338425033368,0.0,0.0
CMCSA,2014-12-31,2014,0.06368993303122632,0.06368993303122632,0.09887193098871931,0.09887193098871931,0.22946009389671362,0.2461538461538462,0.25000000000000006,-0.016,-0.016885553470919325,0.1663189442485056,0.196680790960452,0.2819221967963387,0.0,2.8786308742202116,0.30931987841421327,0.0,0.0,0.25579036699593705,0.0,1.5665573681008031,1.1415430775186874,0.0,1.4880358006703374,0.18537300138592855,0.0,0.0,1.018735031495218,-0.008626097867001255,0.0,0.0033120714299207242,0.0,0.008088281396952788,0.0,0.0
CMCSA,2015-12-31,2015,0.08338785896037805,0.08338785896037805,0.07340311325818573,0.07340311325818573,-0.025894988066825775,0.012345679012345552,0.012500000000000011,-0.037553232675183894,-0.038931297709923665,0.12337537414490088,0.10817350250811449,0.06021658931334047,1.975668353131886,1.2184393395910578,0.28279676721846275,0.0,0.8973277458157847,0.3618063769198531,6.818066887009928,1.5365379273864868,0.41761227050103833,0.1550757988250551,0.3310898700577317,0.14081095809276914,0.0,1.587080129930619,0.6325967707720447,0.09096661920582186,0.0,0.045406334921142974,0.0,0.09095244018741966,0.0,0.0
CMCSA,2016-12-31,2016,0.07909005502617099,0.07909005502617099,0.05381922740342543,0.05381922740342543,0.06517211809383805,0.10060975609756101,0.10185185185185174,-0.030571198712791632,-0.03177124702144559,0.10095331822508115,0.02460325913302801,-0.055000561230216634,3.7674163951787545,0.6405700523453769,0.3544686846395377,3.3036614826983874,0.5282274825036266,0.4799739784794993,4.081526502275359,1.3815502314075967,0.3894799032785928,0.9397496167661082,0.30015830726038384,0.15901965367995127,0.0,1.4967388758577536,0.44248442927043624,0.15356728538283063,0.0,0.08360248298053718,0.0,0.16010718154349024,0.0,0.0
CMCSA,2017-12-31,2017,0.051279181125082396,0.051279181125082396,0.06690788302983569,0.06690788302983569,1.612305922944221,0.3351800554016622,0.3305322128851541,0.9535269709543569,0.963084495488105,-0.43260581757816824,0.11242203742203742,0.20038009264758286,0.7897105834085165,-0.23158067043076574,-0.3257085227678079,0.5924568028388362,-0.18039358221209234,-0.3070194740192231,4.743516606581696,1.0828881960396557,0.4870910327822645,0.08560620028649417,-0.20932817751259844,-0.2859168331470394,0.0,0.019841584346745343,-0.2982560409927334,0.0742928975487115,0.0,0.035728531855955675,0.0,0.057497624741997835,0.0,0.0
CMCSA,2018-12-31,2018,0.11808201026902965,0.11808201026902965,0.05681881358759104,0.05681881358759104,-0.4835343840803029,-0.46887966804979253,-0.4673684210526316,-0.026338147833474938,-0.030505641454241537,0.19412890997900079,0.13521468952950522,0.24559667524243023,0.7619452556536254,-0.1629852215723617,-0.3121306965835899,0.5166998795362469,-0.017406019833170618,-0.2982864960054068,1.9415157159353544,-0.014423926302140878,-0.22063346530839034,0.13067665341197512,-0.19105311728702992,-0.2569736909717642,2.9136480447498814,-0.02265650824793932,-0.25405811081487334,0.29932131991575006,0.0,0.34627090810862854,0.0,0.7309467748931161,0.0,0.0
CMCSA,2019-12-31,2019,0.15274000867660598,0.15274000867660598,0.11131569256667895,0.11131569256667895,0.1357088057284119,-1.0,-1.0,-1.0,-1.0,0.0,0.05762028233938346,1.0413886240864316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0466060615692694,0.0,-0.08524918786859133,0.0,0.0
