symbol,date,year,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
ABG,2009-12-31,2009,11.07,32.0,354.24,84000000.0,366000000.0,282000354.24
ABG,2010-12-31,2010,18.42,32.0,589.44,21000000.0,347000000.0,326000589.44
ABG,2011-12-31,2011,23.29,31800000.0,740622000.0,11400000.0,458600000.0,1187822000.0
ABG,2012-12-31,2012,34.3,31100000.0,1066729999.9999999,6200000.0,466000000.0,1526530000.0
ABG,2013-12-31,2013,47.7,30700000.0,1464390000.0,5400000.0,554400000.0,2013390000.0
ABG,2014-12-31,2014,74.21,29900000.0,2218879000.0,2900000.0,707400000.0,2923379000.0
ABG,2015-12-31,2015,47.08,26300000.0,1238204000.0,2800000.0,954300000.0,2189704000.0
ABG,2016-12-31,2016,64.9,22500000.0,1460250000.0000002,3400000.0,926700000.0,2383550000.0
ABG,2017-12-31,2017,74.2,20800000.0,1543360000.0,4700000.0,875500000.0,2414160000.0
ABG,2018-12-31,2018,70.22,20100000.0,1411422000.0,8300000.0,905300000.0,2308422000.0
ABG,2019-12-31,2019,99.43,19100000.0,1899113000.0000002,3500000.0,939400000.0,2835013000.0
AEO,2009-01-31,2009,9.31,205169000.0,1910123390.0,473342000.0,93299000.0,1530080390.0
AEO,2010-01-30,2010,17.55,206171000.0,3618301050.0,693960000.0,36445000.0,2960786050.0
AEO,2011-01-29,2011,15.35,154557142.0,2372452129.7,667593000.0,41301000.0,1746160129.6999998
AEO,2012-01-28,2012,14.25,194445000.0,2770841250.0,719545000.0,93781000.0,2145077250.0
AEO,2013-02-02,2013,21.67,196211000.0,4251892370.0000005,509119000.0,86199000.0,3828972370.0000005
AEO,2014-02-01,2014,14.19,192802000.0,2735860380.0,418933000.0,104894000.0,2421821380.0
AEO,2015-01-31,2015,14.93,194437000.0,2902944410.0,410697000.0,105045000.0,2597292410.0
AEO,2016-01-30,2016,15.26,194351000.0,2965796260.0,260067000.0,91005000.0,2796734260.0
AEO,2017-01-28,2017,15.8,181429000.0,2866578200.0,378613000.0,81924000.0,2569889200.0
AEO,2018-02-03,2018,19.91,177938000.0,3542745580.0,413613000.0,82528000.0,3211660580.0
AEO,2019-02-02,2019,20.36,176476000.0,3593051360.0,333330000.0,94067000.0,3353788360.0
AIN,2009-12-31,2009,19.89,-47202083.0,-938849430.87,97466000.0,15307000.0,-1021008430.87
AIN,2010-12-31,2010,23.21,31054545.0,720775989.45,122301000.0,1599000.0,600073989.45
AIN,2011-12-31,2011,24.0,0.0,0.0,118909000.0,1687000.0,-117222000.0
AIN,2012-12-31,2012,25.07,0.0,0.0,190718000.0,83862000.0,-106856000.0
AIN,2013-12-31,2013,34.99,0.0,0.0,222666000.0,4389000.0,-218277000.0
AIN,2014-12-31,2014,34.13,66268253.0,2261735474.8900003,179802000.0,50676000.0,2132609474.8900003
AIN,2015-12-31,2015,33.92,85470149.0,2899147454.08,185113000.0,603000.0,2714637454.08
AIN,2016-12-31,2016,47.5,77664705.0,3689073487.5,181742000.0,51978000.0,3559309487.5
AIN,2017-12-31,2017,63.0,47919117.0,3018904371.0,183727000.0,2061000.0,2837238371.0
AIN,2018-12-31,2018,68.82,0.0,0.0,197755000.0,1224000.0,-196531000.0
AIN,2019-12-31,2019,72.63,182716438.0,13270694891.939999,195540000.0,20000.0,13075174891.939999
ALV,2009-12-31,2009,30.84,81.0,2498.04,472000000.0,1138000000.0,666002498.04
ALV,2010-12-31,2010,55.76,87300000.0,4867848000.0,587700000.0,724800000.0,5004948000.0
ALV,2011-12-31,2011,45.88,89200000.0,4092496000.0,739200000.0,666300000.0,4019596000.0
ALV,2012-12-31,2012,48.65,93500000.0,4548775000.0,977700000.0,632700000.0,4203775000.0
ALV,2013-12-31,2013,63.6,95500000.0,6073800000.0,1118300000.0,618500000.0,5574000000.0
ALV,2014-12-31,2014,76.41,92100000.0,7037361000.0,1529000000.0,1600800000.0,7109161000.0
ALV,2015-12-31,2015,74.05,88200000.0,6531210000.0,1333500000.0,1539000000.0,6736710000.0
ALV,2016-12-31,2016,82.05,88200000.0,7236810000.0,1226700000.0,1543400000.0,7553510000.0
ALV,2017-12-31,2017,107.69,87500000.0,9422875000.0,959500000.0,1341400000.0,9804775000.0
ALV,2018-12-31,2018,79.25,87100000.0,6902675000.0,615800000.0,2229700000.0,8516575000.0
ALV,2019-12-31,2019,78.23,87000000.0,6806010000.0,2557000000.0,2094000000.0,6343010000.0
AN,2009-12-31,2009,18.0,177000000.0,3186000000.0,173000000.0,1112000000.0,4125000000.0
AN,2010-12-31,2010,28.7,156900000.0,4503030000.0,95100000.0,1348700000.0,5756630000.0
AN,2011-12-31,2011,36.37,144800000.0,5266376000.0,86600000.0,1647000000.0,6826776000.0
AN,2012-12-31,2012,44.75,123800000.0,5540050000.0,69700000.0,2096100000.0,7566450000.0
AN,2013-12-31,2013,49.89,121300000.0,6051657000.0,69200000.0,1839900000.0,7822357000.0
AN,2014-12-31,2014,59.62,117300000.0,6993426000.0,75400000.0,2128400000.0,9046426000.0
AN,2015-12-31,2015,43.25,112700000.0,4874275000.0,74100000.0,1767100000.0,6567275000.0
AN,2016-12-31,2016,52.62,103100000.0,5425122000.0,64800000.0,1778600000.0,7138922000.0
AN,2017-12-31,2017,61.09,97800000.0,5974602000.0,69200000.0,2373700000.0,8279102000.0
AN,2018-12-31,2018,37.62,90900000.0,3419658000.0,48600000.0,1970500000.0,5341558000.0
AN,2019-12-31,2019,43.85,90000000.0,3946500000.0,42000000.0,525000000.0,4429500000.0
ANF,2009-01-31,2009,20.75,86816000.0,1801432000.0,522122000.0,241231000.0,1520541000.0
ANF,2010-01-30,2010,36.82,143351111.0,5278187907.02,680113000.0,246289000.0,4844363907.02
ANF,2011-01-29,2011,57.37,88061000.0,5052059570.0,826353000.0,68566000.0,4294272570.0
ANF,2012-01-28,2012,48.02,86848000.0,4170440960.0000005,583495000.0,57851000.0,3644796960.0000005
ANF,2013-02-02,2013,46.31,81940000.0,3794641400.0,643505000.0,395734000.0,3546870400.0
ANF,2014-02-01,2014,39.27,77157000.0,3029955390.0000005,600116000.0,135000000.0,2564839390.0000005
ANF,2015-01-31,2015,24.42,71785000.0,1752989700.0000002,520708000.0,293412000.0,1525693700.0000002
ANF,2016-01-30,2016,29.05,68880000.0,2000964000.0,588578000.0,286235000.0,1698621000.0
ANF,2017-01-28,2017,12.28,67878000.0,833541840.0,547189000.0,262992000.0,549344840.0
ANF,2018-02-03,2018,20.68,68391000.0,1414325880.0,675558000.0,249686000.0,988453880.0
ANF,2019-02-02,2019,21.59,67350000.0,1454086500.0,723135000.0,250439000.0,981390500.0
ATR,2009-12-31,2009,35.48,67715760.0,2402555164.7999997,332964000.0,103240000.0,2172831164.7999997
ATR,2010-12-31,2010,47.81,0.0,0.0,376427000.0,308899000.0,-67528000.0
ATR,2011-12-31,2011,52.13,66553000.0,3469407890.0,377616000.0,259026000.0,3350817890.0
ATR,2012-12-31,2012,51.86,66392000.0,3443089120.0,229755000.0,382348000.0,3595682120.0
ATR,2013-12-31,2013,64.21,66090000.0,4243638899.9999995,309861000.0,356139000.0,4289916899.9999995
ATR,2014-12-31,2014,63.11,65009000.0,4102717990.0,399762000.0,607584000.0,4310539990.0
ATR,2015-12-31,2015,72.9,62585000.0,4562446500.0,489901000.0,814413000.0,4886958500.0
ATR,2016-12-31,2016,72.74,62804000.0,4568362960.0,466287000.0,777340000.0,4879415960.0
ATR,2017-12-31,2017,87.69,62435000.0,5474925150.0,712640000.0,1252979000.0,6015264150.0
ATR,2018-12-31,2018,97.96,62437000.0,6116328520.0,261823000.0,1188671000.0,7043176520.0
ATR,2019-12-31,2019,116.54,63574000.0,7408913960.0,241970000.0,1151441000.0,8318384960.0
AZO,2009-08-29,2009,142.77,55282000.0,7892611140.000001,92706000.0,381271000.0,8181176140.000001
AZO,2010-08-28,2010,225.74,0.0,0.0,98280000.0,458554000.0,360274000.0
AZO,2011-08-27,2011,327.12,0.0,0.0,97606000.0,483409000.0,385803000.0
AZO,2012-08-25,2012,369.3,38696000.0,14290432800.0,103093000.0,3768183000.0,17955522800.0
AZO,2013-08-31,2013,422.73,35943000.0,15194184390.0,142191000.0,4187000000.0,19238993390.0
AZO,2014-08-30,2014,507.84,33267000.0,16894313280.0,124485000.0,4343800000.0,21113628280.0
AZO,2015-08-29,2015,730.8,31560000.0,23064048000.0,175309000.0,4665404000.0,27554143000.0
AZO,2016-08-27,2016,758.88,29889000.0,22682164320.0,189734000.0,4968953000.0,27461383320.0
AZO,2017-08-26,2017,583.48,28430000.0,16588336400.0,293270000.0,5129372000.0,21424438400.0
AZO,2018-08-25,2018,765.0,26970000.0,20632050000.0,217824000.0,5058220000.0,25472446000.0
AZO,2019-08-31,2019,1084.62,24966000.0,27078622919.999996,176300000.0,5262590000.0,32164912919.999996
BBY,2009-02-28,2009,36.97,412000000.0,15231640000.0,498000000.0,1242000000.0,15975640000.0
BBY,2010-02-27,2010,43.0,416000000.0,17888000000.0,1826000000.0,1139000000.0,17201000000.0
BBY,2011-02-26,2011,29.35,406000000.0,11916100000.0,1103000000.0,1152000000.0,11965100000.0
BBY,2012-03-03,2012,23.64,366000000.0,8652240000.0,1199000000.0,1728000000.0,9181240000.0
BBY,2013-02-02,2013,17.77,338000000.0,6006260000.0,1826000000.0,1700000000.0,5880260000.0
BBY,2014-02-01,2014,26.15,342000000.0,8943300000.0,2678000000.0,1657000000.0,7922300000.0
BBY,2015-01-31,2015,38.63,349000000.0,13481870000.0,2432000000.0,1621000000.0,12670870000.0
BBY,2016-01-30,2016,32.39,346000000.0,11206940000.0,1976000000.0,1734000000.0,10964940000.0
BBY,2017-01-28,2017,46.15,318000000.0,14675700000.0,2240000000.0,1365000000.0,13800700000.0
BBY,2018-02-03,2018,75.06,300000000.0,22518000000.0,1101000000.0,1355000000.0,22772000000.0
BBY,2019-02-02,2019,67.06,276000000.0,18508560000.0,1980000000.0,1388000000.0,17916560000.0
BC,2009-12-31,2009,10.73,88000000.0,944240000.0,526000000.0,22000000.0,440240000.0
BC,2010-12-31,2010,19.7,88000000.0,1733600000.0,551000000.0,4000000.0,1186600000.0
BC,2011-12-31,2011,20.97,89300000.0,1872621000.0,338200000.0,691900000.0,2226321000.0
BC,2012-12-31,2012,36.03,89800000.0,3235494000.0,284300000.0,570100000.0,3521294000.0
BC,2013-12-31,2013,42.51,91200000.0,3876912000.0,356500000.0,459800000.0,3980212000.0
BC,2014-12-31,2014,54.28,93600000.0,5080608000.0,552700000.0,455700000.0,4983608000.0
BC,2015-12-31,2015,39.85,93000000.0,3706050000.0,657300000.0,448500000.0,3497250000.0
BC,2016-12-31,2016,59.16,91200000.0,5395392000.0,422400000.0,442400000.0,5415392000.0
BC,2017-12-31,2017,63.24,89400000.0,5653656000.0,448800000.0,437400000.0,5642256000.0
BC,2018-12-31,2018,50.71,87600000.0,4442196000.0,294400000.0,1220800000.0,5368596000.0
BC,2019-12-31,2019,62.93,85.0,5349.05,320000000.0,82000000.0,-237994650.95
BDL,2009-10-03,2009,5.56,0.0,0.0,4580000000.0,3756000000.0,-824000000.0
BDL,2010-10-02,2010,6.7,1861934000.0,12474957800.0,6447000000.0,4607000000.0,10634957800.0
BDL,2011-10-01,2011,8.0,1861103.0,14888824.0,4264000000.0,4673000000.0,423888824.0
BDL,2012-09-29,2012,7.18,0.0,0.0,7221000000.0,5265000000.0,-1956000000.0
BDL,2013-09-28,2013,10.49,1859629.0,19507508.21,7058000.0,13546000.0,25995508.21
BDL,2014-09-27,2014,18.68,1858825.0,34722851.0,8099000.0,13331000.0,39954851.0
BDL,2015-10-03,2015,25.65,1858647.0,47674295.55,9267000.0,11380000.0,49787295.55
BDL,2016-10-01,2016,23.15,1858647.0,43027678.05,10174000.0,10255000.0,43108678.05
BDL,2017-09-30,2017,22.0,1858647.0,40890234.0,9885000.0,12398000.0,43403234.0
BDL,2018-09-29,2018,27.5,1858647.0,51112792.5,13414000.0,14576000.0,52274792.5
BDL,2019-09-28,2019,22.87,1858647.0,42507256.89,13672000.0,13080000.0,41915256.89
BH,2009-09-30,2009,180.7,1440647.0,260324912.89999998,51395000.0,152983000.0,361912912.9
BH,2010-09-29,2010,247.41,1433346.0,354624133.86,47563000.0,164735000.0,471796133.86
BH,2011-09-28,2011,295.56,1433019.0,423543095.64,98987000.0,248896000.0,573452095.64
BH,2012-09-26,2012,313.84,1433552.0,449905959.67999995,60359000.0,248454000.0,638000959.68
BH,2013-09-25,2013,398.99,1433835.0,572085826.65,94626000.0,232736000.0,710195826.65
BH,2014-09-24,2014,362.9,1721150.0,624605335.0,124290000.0,324583000.0,824898335.0
BH,2015-12-31,2015,368.0,2066691.0,760542288.0,56523000.0,303851000.0,1007870288.0
BH,2016-12-31,2016,464.0,2066965.0,959071760.0,75808000.0,288684000.0,1171947760.0
BH,2017-12-31,2017,337.78,2067613.0,698398319.14,58577000.0,263742000.0,903563319.14
BH,2018-12-31,2018,131.0,0.0,0.0,48557000.0,245721000.0,197164000.0
BH,2019-12-31,2019,112.23,0.0,0.0,67772000.0,270285000.0,202513000.0
BKE,2009-01-31,2009,22.68,45395217.0,1029563521.56,162463000.0,7701000.0,874801521.56
BKE,2010-01-30,2010,28.89,45628315.0,1318202020.3500001,135340000.0,8866000.0,1191728020.3500001
BKE,2011-01-29,2011,38.17,0.0,0.0,116470000.0,9653000.0,-106817000.0
BKE,2012-01-28,2012,43.13,46859000.0,2021028670.0000002,166511000.0,11125000.0,1865642670.0000002
BKE,2013-02-02,2013,43.34,47383000.0,2053579220.0000002,117608000.0,10121000.0,1946092220.0000002
BKE,2014-02-01,2014,44.43,47744000.0,2121265920.0,164868000.0,9983000.0,1966380920.0
BKE,2015-01-31,2015,51.48,47927000.0,2467281960.0,133708000.0,9984000.0,2343557960.0
BKE,2016-01-30,2016,31.8,48079000.0,1528912200.0,161185000.0,6639000.0,1374366200.0
BKE,2017-01-28,2017,20.4,48125000.0,981749999.9999999,196536000.0,14695000.0,799908999.9999999
BKE,2018-02-03,2018,21.2,48250000.0,1022900000.0,165086000.0,15646000.0,873460000.0
BKE,2019-02-02,2019,19.49,48413000.0,943569369.9999999,168471000.0,17982000.0,793080369.9999999
BKNG,2009-12-31,2009,195.35,42406.0,8284012.1,202141000.0,127561000.0,-66295987.900000006
BKNG,2010-12-31,2010,425.31,47955.0,20395741.05,358967000.0,213000.0,-338358258.95
BKNG,2011-12-31,2011,522.41,49654.0,25939746.139999997,632836000.0,575000000.0,-31896253.860000014
BKNG,2012-12-31,2012,695.09,49840.0,34643285.6,1536349000.0,574999000.0,-926706714.4000001
BKNG,2013-12-31,2013,1160.0,50924.0,59071840.0,1289994000.0,160464000.0,-1070458160.0
BKNG,2014-12-31,2014,1009.48,52301.0,52796813.480000004,3148651000.0,3886951000.0,791096813.48
BKNG,2015-12-31,2015,1064.97,50940.0,54249571.800000004,1477265000.0,6158443000.0,4735427571.8
BKNG,2016-12-31,2016,1602.31,49491.0,79299924.21,2081075000.0,7138256000.0,5136480924.21
BKNG,2017-12-31,2017,1921.53,48994.0,94143440.82,2541604000.0,9520698000.0,7073237440.82
BKNG,2018-12-31,2018,1818.7,47446.0,86290040.2,2624000000.0,8649000000.0,6111290040.2
BKNG,2019-12-31,2019,1872.09,43082.0,80653381.38,6312000000.0,8628000000.0,2396653381.38
BLL,2009-12-31,2009,12.7,93786000.0,1191082200.0,210000000.0,624000000.0,1605082200.0
BLL,2010-12-31,2010,17.73,180746000.0,3204626580.0,152000000.0,2956400000.0,6009026580.0
BLL,2011-12-31,2011,19.59,165275000.0,3237737250.0,165800000.0,3009800000.0,6081737250.0
BLL,2012-12-31,2012,22.97,154648000.0,3552264560.0,174100000.0,3326000000.0,6704164560.0
BLL,2013-12-31,2013,25.8,145943000.0,3765329400.0,416000000.0,3447200000.0,6796529400.0
BLL,2014-12-31,2014,31.67,138508000.0,4386548360.0,191400000.0,3215600000.0,7410748360.0
BLL,2015-12-31,2015,33.42,137300000.0,4588566000.0,224000000.0,5388300000.0,9752866000.0
BLL,2016-12-31,2016,38.24,158271000.0,6052283040.0,597000000.0,7532000000.0,12987283040.0
BLL,2017-12-31,2017,37.57,350269000.0,13159606330.0,448000000.0,6971000000.0,19682606330.0
BLL,2018-12-31,2018,51.18,344796000.0,17646659280.0,721000000.0,6729000000.0,23654659280.0
BLL,2019-12-31,2019,73.1,331102000.0,24203556200.0,1798000000.0,2960000000.0,25365556200.0
BWA,2009-12-31,2009,17.55,100000000.0,1755000000.0,357000000.0,842000000.0,2240000000.0
BWA,2010-12-31,2010,33.81,114155000.0,3859580550.0000005,449900000.0,1180400000.0,4590080550.0
BWA,2011-12-31,2011,37.63,109000000.0,4101670000.0000005,359000000.0,577000000.0,4319670000.0
BWA,2012-12-31,2012,37.59,112000000.0,4210080000.0000005,715000000.0,243000000.0,3738080000.0000005
BWA,2013-12-31,2013,54.22,228000000.0,12362160000.0,939000000.0,1222000000.0,12645160000.0
BWA,2014-12-31,2014,54.01,227150000.0,12268371500.0,797000000.0,1339000000.0,12810371500.0
BWA,2015-12-31,2015,29.36,224414000.0,6588795040.0,577000000.0,2565000000.0,8576795040.0
BWA,2016-12-31,2016,40.56,214374000.0,8695009440.0,443000000.0,2218000000.0,10470009440.0
BWA,2017-12-31,2017,56.72,210429000.0,11935532880.0,545000000.0,2187000000.0,13577532880.0
BWA,2018-12-31,2018,40.48,208197000.0,8427814559.999999,739000000.0,2112000000.0,9800814560.0
BWA,2019-12-31,2019,35.06,205000000.0,7187300000.0,832000000.0,1960000000.0,8315300000.0
BYD,2009-12-31,2009,7.8,86429000.0,674146200.0,93202000.0,652000.0,581596200.0
BYD,2010-12-31,2010,10.84,86601000.0,938754840.0,145623000.0,25690000.0,818821840.0
BYD,2011-12-31,2011,8.8,87263000.0,767914400.0000001,178756000.0,3390456000.0,3979614400.0
BYD,2012-12-31,2012,6.67,87652000.0,584638840.0,192828000.0,4889423000.0,5281233840.0
BYD,2013-12-31,2013,9.56,97243000.0,929643080.0,177838000.0,4386491000.0,5138296080.0
BYD,2014-12-31,2014,13.06,109979000.0,1436325740.0,145341000.0,3461391000.0,4752375740.0
BYD,2015-12-31,2015,17.81,112789000.0,2008772089.9999998,158821000.0,3269549000.0,5119500090.0
BYD,2016-12-31,2016,20.32,114507000.0,2326782240.0,193862000.0,3229455000.0,5362375240.0
BYD,2017-12-31,2017,38.85,114957000.0,4466079450.0,203104000.0,3075880000.0,7338855450.0
BYD,2018-12-31,2018,26.66,114401000.0,3049930660.0,249417000.0,3979300000.0,6779813660.0
BYD,2019-12-31,2019,30.88,113474000.0,3504077120.0,249977000.0,3765931000.0,7020031120.0
BZH,2009-09-30,2009,21.95,38666000.0,848718700.0,507339000.0,12543000.0,353922700.0
BZH,2010-09-30,2010,20.3,55079000.0,1118103700.0,537121000.0,0.0,580982700.0
BZH,2011-09-30,2011,11.0,0.0,0.0,370403000.0,0.0,-370403000.0
BZH,2012-09-30,2012,16.48,18474000.0,304451520.0,487795000.0,1498198000.0,1314854520.0
BZH,2013-09-30,2013,18.41,24651000.0,453824910.0,504459000.0,1512183000.0,1461548910.0
BZH,2014-09-30,2014,17.88,25795000.0,461214600.0,324154000.0,1555433000.0,1692493600.0
BZH,2015-09-30,2015,14.24,27628000.0,393422720.0,251583000.0,1528275000.0,1670114720.0
BZH,2016-09-30,2016,10.04,31798000.0,319251920.0,243000.0,1366153000.0,1685161920.0
BZH,2017-09-30,2017,20.16,31952000.0,644152320.0,305000.0,1417594000.0,2061441320.0
BZH,2018-09-30,2018,8.79,32141000.0,282519390.0,153248000.0,1160217000.0,1289488390.0
BZH,2019-09-30,2019,15.25,30617000.0,466909250.0,122794000.0,1181081000.0,1525196250.0
CATO,2009-01-31,2009,14.01,29065594000.0,407208971940.0,42262000.0,29946000.0,407196655940.0
CATO,2010-01-30,2010,20.18,29525806.0,595830765.08,50385000.0,31615000.0,577060765.08
CATO,2011-01-29,2011,24.25,29503602.0,715462348.5,53456000.0,0.0,662006348.5
CATO,2012-01-28,2012,27.69,29158814.0,807407559.6600001,40218000.0,0.0,767189559.6600001
CATO,2013-02-02,2013,25.55,29226540.0,746738097.0,31069000.0,55900000.0,771569097.0
CATO,2014-02-01,2014,27.47,29205376.0,802271678.7199999,79427000.0,58028000.0,780872678.7199999
CATO,2015-01-31,2015,44.21,28140465.0,1244089957.65,93946000.0,61223000.0,1211366957.65
CATO,2016-01-30,2016,36.2,27967364.0,1012418576.8000001,67057000.0,64289000.0,1009650576.8000001
CATO,2017-01-28,2017,25.75,27448837.0,706807552.75,47234000.0,71689000.0,731262552.75
CATO,2018-02-03,2018,11.83,25117647.0,297141764.01,78047000.0,62392000.0,281486764.01
CATO,2019-02-02,2019,15.2,24765040.0,376428608.0,24603000.0,52777000.0,404602608.0
CBRL,2009-07-31,2009,28.72,22458971.0,645021647.12,11609000.0,7422000.0,640834647.12
CBRL,2010-07-30,2010,45.2,23007856.0,1039955091.2,47700000.0,13530000.0,1005785091.2
CBRL,2011-07-29,2011,41.34,22998200000.0,950745588000.0001,52274000.0,550266000.0,951243580000.0001
CBRL,2012-08-03,2012,62.98,23067566000.0,1452795306680.0,151962000.0,545915000.0,1453189259680.0
CBRL,2013-08-02,2013,98.42,23708875.0,2333427477.5,121718000.0,421152000.0,2632861477.5
CBRL,2014-08-01,2014,100.41,23817768.0,2391542084.88,119361000.0,400000000.0,2672181084.88
CBRL,2015-07-31,2015,145.82,23918368.0,3487776421.7599998,265455000.0,400000000.0,3622321421.7599998
CBRL,2016-07-29,2016,157.23,23945041.0,3764878796.43,150966000.0,415734000.0,4029646796.43
CBRL,2017-07-28,2017,147.91,24031810.0,3554545017.1,161001000.0,419989000.0,3813533017.1
CBRL,2018-08-03,2018,149.09,24011161.0,3579823993.4900002,114656000.0,411831000.0,3876998993.4900002
CBRL,2019-08-02,2019,165.4,24037272.0,3975764788.8,36884000.0,415373000.0,4354253788.8
CCK,2009-12-31,2009,23.81,159208879.0,3790763408.99,459000000.0,60000000.0,3391763408.99
CCK,2010-12-31,2010,33.17,0.0,0.0,463000000.0,482000000.0,19000000.0
CCK,2011-12-31,2011,36.11,151700000.0,5477887000.0,342000000.0,3404000000.0,8539887000.0
CCK,2012-12-31,2012,38.54,146100000.0,5630694000.0,350000000.0,3404000000.0,8684694000.0
CCK,2013-12-31,2013,41.09,139500000.0,5732055000.0,689000000.0,3563000000.0,8606055000.0
CCK,2014-12-31,2014,44.31,137200000.0,6079332000.0,965000000.0,5184000000.0,10298332000.0
CCK,2015-12-31,2015,45.88,137940000.0,6328687200.0,717000000.0,5464000000.0,11075687200.0
CCK,2016-12-31,2016,53.66,138530000.0,7433519800.0,559000000.0,4878000000.0,11752519800.0
CCK,2017-12-31,2017,57.55,135290000.0,7785939500.0,424000000.0,5281000000.0,12642939500.0
CCK,2018-12-31,2018,49.53,133640000.0,6619189200.0,607000000.0,8603000000.0,14615189200.0
CCK,2019-12-31,2019,75.82,133890000.0,10151539800.0,607000000.0,7880000000.0,17424539800.0
CCL,2009-11-30,2009,32.1,837676005.0,26889399760.5,538000000.0,10047000000.0,36398399760.5
CCL,2010-11-30,2010,45.92,788000000.0,36184960000.0,429000000.0,8624000000.0,44379960000.0
CCL,2011-11-30,2011,32.64,787000000.0,25687680000.0,450000000.0,9072000000.0,34309680000.0
CCL,2012-11-30,2012,36.03,778000000.0,28031340000.0,465000000.0,8846000000.0,36412340000.0
CCL,2013-11-30,2013,40.14,775000000.0,31108500000.0,462000000.0,9500000000.0,40146500000.0
CCL,2014-11-30,2014,45.48,776000000.0,35292480000.0,331000000.0,8422000000.0,43383480000.0
CCL,2015-11-30,2015,55.04,777000000.0,42766080000.0,1395000000.0,8757000000.0,50128080000.0
CCL,2016-11-30,2016,52.06,745000000.0,38784700000.0,603000000.0,8997000000.0,47178700000.0
CCL,2017-11-30,2017,66.37,722000000.0,47919140000.0,395000000.0,8710000000.0,56234140000.0
CCL,2018-11-30,2018,48.68,709000000.0,34514120000.0,982000000.0,9475000000.0,43007120000.0
CCL,2019-11-30,2019,51.02,0.0,0.0,0.0,0.0,0.0
CCZ,2009-12-31,2009,30.8,5208602150.0,160424946220.0,671000000.0,1009000000.0,160762946220.0
CCZ,2010-12-31,2010,34.0,2808000000.0,95472000000.0,5984000000.0,31415000000.0,120903000000.0
CCZ,2011-12-31,2011,38.92,2746000000.0,106874320000.0,1620000000.0,39309000000.0,144563320000.0
CCZ,2012-12-31,2012,42.59,2678000000.0,114056020000.00002,10951000000.0,40458000000.0,143563020000.0
CCZ,2013-06-01,2013,44.45,0.0,0.0,0.0,0.0,0.0
CCZ,2014-06-01,2014,43.4,0.0,0.0,1000000.0,0.0,-1000000.0
CCZ,2015-06-01,2015,47.39,0.0,0.0,0.0,0.0,0.0
CCZ,2016-06-01,2016,48.0,0.0,0.0,0.0,0.0,0.0
CCZ,2017-06-01,2017,50.1,0.0,0.0,0.0,0.0,0.0
CCZ,2018-12-31,2018,50.63,4584000000.0,232087920000.0,3814000000.0,111743000000.0,340016920000.0
CCZ,2019-12-31,2019,56.4,4548000000.0,256507200000.0,5500000000.0,102217000000.0,353224200000.0
CHDN,2009-12-31,2009,12.1,13578.0,164293.8,13643000.0,46603000.0,33124293.8
CHDN,2010-12-31,2010,13.96,15186.0,211996.56000000003,26901000.0,49754000.0,23064996.56
CHDN,2011-12-31,2011,18.33,16638000.0,304974540.0,27325000.0,127563000.0,405212540.0
CHDN,2012-12-31,2012,21.34,17047000.0,363782980.0,37177000.0,275265000.0,601870980.0
CHDN,2013-12-31,2013,29.7,17294000.0,513631800.0,44708000.0,369191000.0,838114800.0
CHDN,2014-12-31,2014,31.66,17271000.0,546799860.0,67936000.0,470355000.0,949218860.0
CHDN,2015-12-31,2015,46.05,17225000.0,793211250.0,74528000.0,609920000.0,1328603250.0
CHDN,2016-12-31,2016,47.22,16400000.0,774408000.0,48700000.0,608900000.0,1334608000.0
CHDN,2017-12-31,2017,86.22,15700000.0,1353654000.0,51700000.0,496300000.0,1798254000.0
CHDN,2018-12-31,2018,91.13,41300000.0,3763669000.0,133300000.0,497000000.0,4127369000.0
CHDN,2019-12-31,2019,146.64,40100000.0,5880263999.999999,96200000.0,1089900000.0,6873963999.999999
CHH,2009-12-31,2009,31.74,60068000.0,1906558320.0,67870000.0,37074000.0,1875762320.0
CHH,2010-12-31,2010,37.2,0.0,0.0,91259000.0,251974000.0,160715000.0
CHH,2011-12-31,2011,37.15,58862000.0,2186723300.0,107057000.0,252705000.0,2332371300.0
CHH,2012-12-31,2012,35.8,57467000.0,2057318599.9999998,134177000.0,855345000.0,2778486600.0
CHH,2013-12-31,2013,48.24,57925000.0,2794302000.0,167795000.0,793559000.0,3420066000.0
CHH,2014-12-31,2014,57.45,57730000.0,3316588500.0,214879000.0,794431000.0,3896140500.0
CHH,2015-12-31,2015,43.72,56814000.0,2483908080.0,193441000.0,814136000.0,3104603080.0
CHH,2016-12-31,2016,55.5,55872000.0,3100896000.0,202463000.0,840604000.0,3739037000.0
CHH,2017-12-31,2017,82.15,56114000.0,4609765100.0,235336000.0,726524000.0,5100953100.0
CHH,2018-12-31,2018,78.66,56130000.0,4415185800.0,26642000.0,754611000.0,5143154800.0
CHH,2019-12-31,2019,101.63,55358000.0,5626033540.0,33766000.0,851613000.0,6443880540.0
CLAR,2009-12-31,2009,4.35,16867.0,73371.45,58363000.0,0.0,-58289628.55
CLAR,2010-12-31,2010,7.01,19815.0,138903.15,2767000.0,308000.0,-2320096.85
CLAR,2011-12-31,2011,7.97,21845.0,174104.65,2400000.0,38070000.0,35844104.65
CLAR,2012-12-31,2012,7.8,29817.0,232572.6,5111000.0,40488000.0,35609572.6
