symbol,date,year,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
CMCSA,2013-12-31,2013,64657000000.0,0.0333546428001,0.0,64657000000.0,0.0,0.0,4969000000.0,13563000000.0,2574000000.0,11115000000.0,3980000000.0,0.0,0.0,6816000000.0,0.0,6816000000.0,2.6,2.56,2625000000.0,2665000000.0,0.736960600375,1.0,0.45908408989,0.209768470545,0.10541782019,0.116986559847,29683000000.0,13563000000.0,6816000000.0,0.171907140758,0.10541782019,1718000000.0,3573000000.0,5291000000.0,6376000000.0,0.0,14075000000.0,29840000000.0,41955000000.0,3770000000.0,3795000000.0,1.44738e+11,1.58813e+11,5528000000.0,3280000000.0,18912000000.0,44567000000.0,47847000000.0,898000000.0,1701000000.0,0.0,87886000000.0,1.08119e+11,31373000000,19235000000.0,50694000000.0,7343000000.0,46129000000.0,0.0,1321000000.0,16120000000.0,419000000.0,14160000000.0,7605000000.0,-99000000.0,-3223000000.0,-9514000000.0,-3789000000.0,-1960000000.0,-1964000000.0,-13879000000.0,0.0,-9233000000.0,6555000000.0,0.0
CMCSA,2012-12-31,2012,62570000000.0,0.120482790731,0.0,62570000000.0,0.0,0.0,4807000000.0,12179000000.0,2521000000.0,11609000000.0,3744000000.0,0.0,0.0,6203000000.0,0.0,6203000000.0,2.32,2.28,2678000000.0,2717000000.0,0.591829223408,1.0,0.470369186511,0.194645996484,0.0991369665974,0.146076394438,29431000000.0,12179000000.0,6203000000.0,0.185536199457,0.0991369665974,10951000000.0,1464000000.0,12415000000.0,5521000000.0,0.0,19991000000.0,27232000000.0,44825000000.0,6325000000.0,2016000000.0,1.4498e+11,1.64971e+11,6206000000.0,2376000000.0,16714000000.0,38082000000.0,40458000000.0,851000000.0,1573000000.0,0.0,81463000000.0,1.15615e+11,33030000000,16280000000.0,49356000000.0,7789000000.0,29507000000.0,0.0,17438000000.0,17252000000.0,371000000.0,14854000000.0,6637000000.0,-90000000.0,-3297000000.0,-1486000000.0,-2337000000.0,-2767000000.0,-1608000000.0,-4037000000.0,0.0,9331000000.0,8217000000.0,0.0
CMCSA,2011-12-31,2011,55842000000.0,0.471966681604,0.0,55842000000.0,0.0,0.0,37485000000.0,10721000000.0,2505000000.0,8207000000.0,3050000000.0,0.0,0.0,4160000000.0,0.0,4160000000.0,1.51,1.5,2746000000.0,2778000000.0,0.427285817135,1.0,0.450270405788,0.191988109308,0.074495899144,0.161849503958,25144000000.0,10721000000.0,4160000000.0,0.146968231797,0.074495899144,1620000000.0,3028000000.0,4648000000.0,4351000000.0,0.0,8573000000.0,27559000000.0,45039000000.0,3028000000.0,1868000000.0,1.49245e+11,1.57818e+11,5705000000.0,1367000000.0,13241000000.0,37942000000.0,39309000000.0,790000000.0,1435000000.0,0.0,80908000000.0,1.10544e+11,33423000000,13971000000.0,47274000000.0,6056000000.0,37689000000.0,0.0,16395000000.0,14423000000.0,344000000.0,14345000000.0,6261000000.0,-6407000000.0,-2141000000.0,-12508000000.0,-3760000000.0,-1858000000.0,-1187000000.0,-6201000000.0,0.0,-4364000000.0,8084000000.0,0.0
CMCSA,2010-12-31,2010,37937000000.0,0.0609967557892,0.0,37937000000.0,0.0,8091000000.0,23341000000.0,7980000000.0,2156000000.0,6104000000.0,2436000000.0,0.0,0.0,3635000000.0,0.0,3635000000.0,1.29,1.29,2808000000.0,2820000000.0,0.377304964539,1.0,0.384743126763,0.210348736062,0.0958167488204,0.163903313388,14596000000.0,7980000000.0,3635000000.0,0.160898331444,0.0958167488204,5984000000.0,81000000.0,6065000000.0,1855000000.0,0.0,8886000000.0,23515000000.0,18560000000.0,6670000000.0,174000000.0,1.09648e+11,1.18534e+11,3291000000.0,1800000000.0,8234000000.0,29615000000.0,31415000000.0,0.0,1251000000.0,0.0,65723000000.0,74180000000.0,32263000000,12158000000.0,44354000000.0,6751000000.0,25431000000.0,0.0,223000000.0,6616000000.0,300000000.0,11179000000.0,5497000000.0,-183000000.0,-1460000000.0,-5711000000.0,-1153000000.0,-1166000000.0,-1064000000.0,-155000000.0,0.0,5313000000.0,5682000000.0,0.0
CMCSA,2009-12-31,2009,35756000000.0,0.0387,0.0,35756000000.0,0.0,22042000000.0,28542000000.0,7214000000.0,2348000000.0,5116000000.0,1478000000.0,-10000000.0,0.0,3638000000.0,0.0,3638000000.0,0.635,0.63,5709366964.0,5709366964.0,0.133,1.0,0.391,0.2087,0.102,0.1298,13964000000.0,7464000000.0,3628000000.0,0.1431,0.1017,671000000.0,50000000.0,721000000.0,1711000000.0,0.0,3223000000.0,23855000000.0,78490000000.0,5947000000.0,240000000.0,109510000000.0,112733000000.0,3094000000.0,1156000000.0,7249000000.0,27940000000.0,29096000000.0,0.0,27800000000.0,0.0,62673000000.0,69922000000.0,-46000000.0,10005000000.0,42721000000.0,5997000000.0,28375000000.0,791000000.0,2999000000.0,6500000000.0,257000000.0,10281000000.0,-5639000000.0,14000000.0,-346000000.0,-5897000000.0,-3174000000.0,-764000000.0,-761000000.0,-4908000000.0,0.0,-524000000.0,4642000000.0,-0.5895
SIRI,2013-12-31,2013,3799095000.0,0.116710855839,26478000.0,3772617000.0,50564000.0,553159000.0,1921171000.0,1044553000.0,204671000.0,637092000.0,259877000.0,0.0,0.0,377215000.0,0.0,377215000.0,0.06,0.06,6227646000.0,6384791000.0,0.0,0.993030445409,0.341625308133,0.274947849422,0.0992907521397,0.244588513843,1297867000.0,1044553000.0,377215000.0,0.0,0.0992907521397,134805000.0,1146248000.0,134805000.0,103937000.0,13863000.0,1419013000.0,1594574000.0,4904615000.0,5718000.0,868057000.0,7425767000.0,8844780000.0,578333000.0,20320000.0,2738904000.0,16337000.0,36657000.0,1586611000.0,0.0,0.0,1202517000.0,6099038000.0,8674129000,-5934175000.0,2745742000.0,1151966000.0,-98148000.0,0.0,2157617000.0,253314000.0,68876000.0,1102832000.0,173617000.0,-525352000.0,-1762360000.0,-700688000.0,-1782160000.0,-1762360000.0,-0.0,-788284000.0,0.0,134805000.0,929215000.0,0.0
SIRI,2012-12-31,2012,3402040000.0,1,31766000.0,3370274000.0,42605000.0,510810000.0,510810000.0,872025000.0,265321000.0,474468000.0,-2998234000.0,0.0,0.0,3472702000.0,64675000.0,3472702000.0,0.55,0.51,4209073000.0,6873786000.0,0.0475810564949,0.990662661227,0.334599240456,0.256324146688,1.02077047889,0.208543109428,1138320000.0,872025000.0,3472702000.0,0.0,1.02077047889,520945000.0,1163721000.0,520945000.0,106142000.0,25337000.0,1828182000.0,1571922000.0,4334975000.0,3999000.0,1219256000.0,7226661000.0,9054843000.0,587652000.0,4234000.0,2314588000.0,18966000.0,23200000.0,1474138000.0,0.0,0.0,264529000.0,5015278000.0,10345572000,-6311390000.0,4039565000.0,1167720000.0,-497745000.0,0.0,2436161000.0,266295000.0,63822000.0,806765000.0,97293000.0,-0.0,0.0,-97319000.0,-915824000.0,-520945000.0,-327062000.0,-962491000.0,0.0,-253045000.0,709472000.0,0.0
SIRI,2011-12-31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
SIRI,2010-12-31,2010,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
SIRI,2009-12-31,2009,2472638000.0,0.486,1064008000.0,1408630000.0,41031000.0,797016000.0,1180304000.0,228326000.0,315668000.0,-346057000.0,5981000.0,0.0,0.0,-352038000.0,186188000.0,-538226000.0,-0.15,-0.15,3858653816.0,3585864000.0,0.0,0.5697,0.113,-0.0123,-0.218,0.0749,279061000.0,-30389000.0,-352038000.0,-0.14,-0.1424,383489000.0,0.0,383489000.0,162318000.0,16193000.0,859780000.0,1711003000.0,4529971000.0,3400000.0,72640000.0,6462426000.0,7322206000.0,543686000.0,13882000.0,2076641000.0,3063281000.0,3077163000.0,1338579000.0,0.0,0.0,5150043000.0,7226684000.0,-6581000.0,-10254108000.0,95522000.0,3400000.0,2693674000.0,297780000.0,1519073000.0,309450000.0,73981000.0,433830000.0,-248511000.0,0.0,0.0,-248511000.0,-178564000.0,0.0,0.0,-182276000.0,0.0,3043000.0,185319000.0,-1.1635
