symbol,date,year,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth
CMCSA,2013-12-31,2013,0,0.11363822974,0.11363822974,0.0988231500887,0.120689655172,0.122807017544,-0.0197908887229,-0.0191387559809,0.246053541815,-0.0467214218392,-0.202263599854,0.82314143373,0.82314143373,0.82314143373,0.354965049263,0.354965049263,0.354965049263,1.00582464138,1.00582464138,1.00582464138,0.222620192091,0.222620192091,0.222620192091,0.974547798067,0.974547798067,0.974547798067,0.154863249411,0,-0.0373277727601,0,0.182633842503,0,0
CMCSA,2012-12-31,2012,0,0.135994776607,0.135994776607,0.491105769231,0.53642384106,0.52,-0.0247632920612,-0.0219582433405,0.389073690396,0.0354827466016,0.0164522513607,0.729377089406,0.729377089406,0.729377089406,0.393243399335,0.393243399335,0.393243399335,0.78930302747,0.78930302747,0.78930302747,0.166792675522,0.166792675522,0.166792675522,0.584641214687,0.584641214687,0.584641214687,0.268903700299,0,0.0453243609728,0,0.0292299473403,0,0
CMCSA,2011-12-31,2011,0,0.343483709273,0.343483709273,0.144429160935,0.170542635659,0.162790697674,-0.0220797720798,-0.0148936170213,0.140789884398,0.283209589409,0.422738472369,0.505201180606,0.505201180606,0.505201180606,0.312182274967,0.312182274967,0.312182274967,0.170268420942,0.170268420942,0.170268420942,0.0898986867262,0.0898986867262,0.0898986867262,0.140789884398,0.140789884398,0.140789884398,1.34555256065,0,0.331415458856,0,0.251281235079,0,-1.0
CMCSA,2010-12-31,2010,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0,0,0,0,0,0,0
CMCSA,2009-12-31,2009,0.0387,0.145,0.0716,0.4283,0.4598,0.4651,-0.0087,,0.4149,0.0049,0.174,0.0798,0.1676,0.1613,0.1247,0.1454,0.1932,0.03,0.3433,0.1624,0.0498,0.0377,0.0431,0.3246,0.0,0.0,0.0523,0.0,-0.0025,0.0655,-0.1035,0.0,0.0353
SIRI,2013-12-31,2013,0.119379907984,0.197847538775,0.197847538775,-0.891377089079,-0.890909090909,-0.882352941176,0.479576619365,-0.0711391073275,-1.0,0.366980471389,0.309727515674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207740573948,-0.452855507755,-0.0231989665641,0,0.580043103448,0.186809059969,0.000878181019835
SIRI,2012-12-31,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIRI,2011-12-31,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIRI,2010-12-31,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIRI,2009-12-31,2009,0.7596,0.9941,1.0453,0.8988,0.9388,0.9388,0.6529,0.6529,0.0,3.8393,1.6543,0.0,0.6643,0.1493,0.0,0.0,0.0,0.0,0.0,0.0,-0.4131,-0.4948,0.0,0.0,0.0,0.0,0.0969,-0.338,-0.0184,5.75,-0.0445,0.0132,-0.0238
