symbol,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
PG,2019-06-30,27.034670075091867,1.5565585556798212,6.08803323214571,4.751158332001917,1.6931618469404057,19.004233903179422,20.21369228311232,19.004233903179422,12.222799169196357,3.01458476E11,3.27311476E11,77.35655016679496,4.453910466284499,19.778144338013384,25.34329348465742,6.33595653544631,6.33595653544631,4.835876662135807,39.382923354590304,21.474312819839916,27.516727700714586,0.012927153522795625,0.03945817068351397,1.4190294037285356,0.5866110604283418,3.1106966670677414,0.7488254306754191,10.779960707269154,3.911213754169874,0.024872413937367614,1.924044136515268,0.28195733112700194,0.28195733112700194,0.5603023589208914,4.5539288915446665,20.222288616671648,0.8437406632805498,0.0076088883635718925,25.798780295064827,0.0644892106624042,0.07700515738929398,-20.37356207061831,-7.538E9,-1.6909E10,-4.5043E10,46449000000.0,4.8185E9,1.0802E10,4.8775E9,26.699293776963536,118.20927289461574,52.66926484123332,13.670773581094728,3.0877442273534634,6.930037871237792,0.08190588284747473,1.336874900143793
PG,2018-06-30,26.423121021626535,3.854821492112442,5.877910884434429,4.4083343217491,1.0156960423832682,20.908156406911004,19.46506938678686,20.908156406911004,12.569485628434744,2.0284986E11,2.3156686E11,20.805113846153848,3.0352205530284895,13.644303490953117,18.192812556053813,3.8358236106121057,3.8358236106121057,3.464909923389993,13.996183741311574,15.575896952983117,20.768328251121076,0.0480651058866888,0.054966762116572324,1.2372028818334815,0.5530132702222974,1.7356905409489272,0.8258667705492793,27.09683794466403,1.5248205128205128,0.03603650502889181,0.7497435897435898,0.28209540339956907,0.28209540339956907,0.5838644239709239,3.999730965832661,17.980091471616895,0.7624428302394404,0.005910342350969595,42.58447182073182,0.15222097631920775,0.19803790140759248,-18.856402957339977,-4.917E9,-1.6194E10,-4.2107E10,49713000000.0,4.686E9,1.0344E10,4.738E9,25.59238089537946,110.17742500291817,50.46603245009921,14.262057191634657,3.3128383604021656,7.232587589700295,0.18436926800673184,1.4695765626853279
PG,2017-06-30,25.040606597128672,5.898926138331858,4.908587044378584,3.606096763019129,2.143489473076479,21.46876563642662,19.829875678380354,21.46876563642662,12.338632077287249,2.3437460099999997E11,2.6039760099999997E11,15.292613924050631,3.602548510559808,18.37799741237356,25.01596765930195,4.2019183369787365,4.2019183369787365,4.002545436379846,15.52295684053651,20.41853689328001,27.793531967125624,0.06539104465504776,0.03997446805253442,1.1586647065151134,0.5367506602660997,1.5512965722801788,0.8769943727242635,30.010752688172044,0.8321153595197703,0.030873652559306117,0.4721388490147462,0.2854068677180362,0.2854068677180362,0.5721143464611398,3.768617021276596,19.22517730496454,0.8333333333333334,0.005395185834178732,53.38033263604537,0.15471861279879373,0.29747670807453414,-16.83287787229129,-3.716E9,-1.3108E10,-3.8134E10,47333000000.0,4.64E9,9.988E9,4.681E9,25.77407851455624,108.05839864761028,51.875211310895956,14.161515019590771,3.377803156146179,7.036115916955017,0.2747678296102406,1.302490281359455
PG,2016-06-30,24.19467190336804,3.8934380673607767,5.718996628255956,4.491088962169773,2.631442439512394,21.48393790062618,21.58620178591278,21.48393790062618,11.551743302827077,2.30998851E11,2.54494851E11,21.98314151122954,3.537555720608279,14.96591195335277,19.057738717927563,3.9839065070796615,3.9839065070796615,3.897377463667131,15.406189902536473,16.488166569484935,20.996192640871215,0.04548940375465331,0.052472122469561545,1.1926426711277442,0.5439293355147244,1.4223621284581391,1.0978875528111798,23.214162348877373,1.4688808526836696,0.0321906363075373,0.7076513132851161,0.29018821115177873,0.29018821115177873,0.5417584319154292,4.657513578756789,19.70398310199155,0.9287869643934822,0.005130247017565353,43.382526290316946,0.13947865429715875,0.1803669819255394,-18.588035866464114,3.012E9,-1.0894E10,-3.5371E10,50985000000.0,4.5295E9,9.8345E9,4.727E9,24.44363619657269,103.42535476617338,52.306056094077604,14.932311914017836,3.5291152815013405,6.978159457167091,0.18122553162133728,1.2279076660861832
PG,2015-06-30,28.129586606188,2.594682302614596,5.387026588486927,4.009293063391969,2.5242467824611867,23.25109709776155,20.411549950215733,23.25109709776155,11.423092524984327,2.09858463E11,2.33363463E11,29.826387578169413,2.7511957812766292,14.365995550383351,19.302654801324504,3.3284450911974623,3.3284450911974623,3.0593408801898296,15.636790605735728,15.975045386089814,21.464630518763798,0.0335273588656751,0.05180634530807557,1.0538461538461539,0.5131086142322098,1.5749798981506298,0.9951661631419939,18.833865814696484,2.076179647527004,0.034723403077625704,1.035673678226265,0.3091938803602564,0.3091938803602564,0.5725703695123364,3.910064239828694,20.417291220556745,0.838865096359743,0.004417991845724249,36.84300786456704,0.11824883406047841,0.12711833785004517,-17.870800604786666,-1.44E8,-1.1095E10,-3.6799E10,53582000000.0,4.7735E9,9.3005E9,5.096E9,23.260202677014647,77.52353637205474,51.206657063483895,15.692038675169718,4.708247547535424,7.127979464613128,0.111593973037272,1.377733525094959
PG,2014-06-30,30.53974556952717,4.280829472755349,5.131994999632326,3.7171850871387604,3.146554893742187,25.728362379586734,21.95712920067652,25.728362379586734,13.282594308405029,2.12579568E11,2.39438568E11,18.258143777376965,2.559287857263249,15.229944691216506,21.02666350148368,3.0378925345832855,3.0378925345832855,2.882648720233079,12.992488360735797,17.154217509671874,23.68334005934718,0.054770080255314095,0.04755866283442631,1.061649708471476,0.5149515478352488,1.4574312225297086,0.937466642946095,21.562764456981665,1.1988319161728076,0.032510179905907044,0.5935755389504423,0.3047602995352869,0.3047602995352869,0.5860493810045333,3.6273388773388775,21.585758835758835,0.8162681912681913,0.004334111868242999,49.78073391489883,0.13830287678668354,0.19496307707764698,-20.38201338333701,-2.109E9,-1.4571E10,-4.2673E10,52852000000.0,5.536E9,9.4025E9,5.7485E9,28.06205003491368,72.73351389543099,58.10256712199717,13.00689007203257,5.018319347594847,6.281994377866548,0.16638561792614612,1.4148099124935658
GIS,2019-05-26,28.08994003997335,2.9192205196535643,4.675216522318454,3.77981345769487,0.7495003331112592,11.749666888740839,14.90439706862092,11.749666888740839,22.556795469686875,3.0674436000000004E10,4.3245736E10,17.501247218577053,1.8188006071674219,10.927836123975776,13.516540054639995,4.3482083776313,4.3482083776313,2.5641994165500557,13.790094387755103,15.406389739935875,19.05602185599718,0.057138784882629946,0.07398343037179232,3.2683677085548233,0.7657184037833099,4.0087053571428575,0.5907211694487167,4.821579149099271,1.6015290694357278,0.03852393569681281,0.6742169224624864,0.17407442544410975,0.17407442544410975,0.7028148994394112,5.221354166666667,31.371279761904763,1.1534598214285714,0.005034034580082063,27.780335586811976,0.1092724579896717,0.19586304002860783,-34.13203697534977,-2.9006E9,-1.41081E10,-1.88702E10,15901500000.0,1.71055E9,2.80015E9,1.60075E9,36.97569551502502,93.7800673364301,51.23550646357712,9.871349136669593,3.892085070600189,7.123965882126595,0.24845134311432418,0.8954030646235843
GIS,2018-05-27,27.289181692094314,3.694521497919556,4.925450762829404,3.845873786407767,0.691747572815534,10.646844660194175,15.800797503467406,10.646844660194175,25.385748959778088,2.5679136E10,3.9548936E10,12.05027498826842,1.6314157200579402,9.038766631467793,11.576042915746292,4.181520574489912,4.181520574489912,2.51257502985947,12.643117547392986,13.920780007039776,17.828488482171032,0.08298565808444645,0.08638530517537661,3.9867287619481853,0.799467737722048,4.433937533966305,0.5616665985644043,6.714744447417715,1.333176912247771,0.044382334358913006,0.5348193336461755,0.1748748443495718,0.1748748443495718,0.7023935475444096,4.562389593704834,25.2776617954071,0.9937369519832986,0.004891870600492999,29.749578498647537,0.1077780784379416,0.23381867257705263,-38.05383148404993,-3.2182E9,-1.5369E10,-2.03592E10,17191600000.0,1.7126E9,2.7462E9,1.6422E9,39.713031435033415,97.1950663731831,58.121672856325574,9.190937755459535,3.755334644235671,6.279929363049567,0.347006236667698,1.0795769764216365
GIS,2017-05-28,26.60500766479305,2.823198773633112,3.9402146142054164,2.774484755578266,1.3048884346789302,7.371657298586271,14.537557485947879,7.371657298586271,14.550672798501108,3.3764121E10,4.1245621E10,20.37051040723982,2.161623132178389,14.595651666450525,20.728173000184174,7.80150211418933,7.80150211418933,2.640598535192512,13.01123690851735,17.829776077465095,25.321149855730862,0.049090571615947,0.04824351861551497,4.03999630305691,0.8015871560474221,2.3600946372239746,0.7618743903354093,8.696712978651304,1.3956561085972852,0.03361852660106271,0.6848265460030166,0.17934288531223191,0.17934288531223191,0.6087123955878713,3.380040911747516,22.82261835184103,0.8819403857393338,0.006126839012023201,21.639367169877627,0.15571114805421737,0.19420035149384884,-24.88605007664793,-1.2694E9,-8.9497E9,-1.34233E10,11919800000.0,1.5835E9,2.433E9,1.5629E9,33.98609457227365,76.94182577565633,53.84984089101034,10.739686468646864,4.743843758845174,6.7781073065516315,0.3829801982485732,1.1657298586271505
GIS,2016-05-29,27.655869093337785,2.834196026047754,4.391050258807814,3.173317749206879,1.2751711471030223,8.232092168976457,14.079979963265988,8.232092168976457,14.13407914509935,3.6736526E10,4.4133926E10,21.64282196300224,2.217974050751369,13.969323142444294,19.329926861352277,7.451325706867875,7.451325706867875,2.664593343033611,13.311393756597798,16.782236671990265,23.222270981320705,0.046204695566477896,0.05173325316607237,3.403938988276338,0.7729305508859033,2.23115668828231,0.7851317127644725,8.911784068466096,1.5493107104984094,0.029172600588308215,0.6313774007305291,0.18830412181294565,0.18830412181294565,0.6116256683999393,3.6059234882764293,22.710955710955712,0.8338132455779514,0.005421690384046465,22.91191099637627,0.16214306247604446,0.2012926178476134,-23.534062447821004,-1.0775E9,-8.3496E9,-1.28449E10,11085000000.0,1.5515E9,2.39635E9,1.52795E9,30.64015794144816,69.59198218677797,48.073386375493776,11.912471231300346,5.244857073051551,7.592558534342506,0.3442862358525009,1.217732509600935
GIS,2015-05-31,29.22310624896403,2.024365987071109,4.214818498259572,3.0339797778882813,0.5539532570860268,8.282280788993868,13.944306315266036,8.282280788993868,14.791148682247638,3.360381E10,4.187771E10,27.514787521493492,1.9060259893478841,13.215278433223219,18.35872486888112,6.725200632417395,6.725200632417395,2.3753260012591957,15.710425420168066,16.469132452414662,22.878993662587412,0.036344093125154554,0.0544700139656783,3.395801228811015,0.7725101868924856,3.103954081632653,0.7741559477311303,6.586239695624604,2.0820437239007616,0.030285256344444275,0.833292393351347,0.18876593137950007,0.18876593137950007,0.6169910537458171,3.5693430656934306,24.747754070746772,0.8258001122964627,0.006035064633046517,19.422751331975658,0.12166166893126552,0.1451750945011055,-24.52055362174706,-1.1044E9,-8.5552E9,-1.31821E10,12247300000.0,1.5623E9,2.2151E9,1.59155E9,29.23262791898039,52.62004434513873,48.148590458090425,12.486048158640227,6.936520190023753,7.58069959114803,0.24442131806992615,1.1808387203712913
GIS,2014-05-25,28.491250397709194,2.902322621699014,4.042316258351893,2.986796054724785,1.3797327394209353,10.395800190900413,15.082564428889595,10.395800190900413,12.689309576837417,3.2869494E10,3.9676294E10,18.016604911203682,1.8353002858801983,12.935652892561983,17.507054061251665,5.029915835220665,5.029915835220665,2.2153646089248222,11.199134582815852,15.614440771349862,21.13251344873502,0.05550435306366445,0.05711983275434663,2.541914060108955,0.7176667804386992,1.9213051823416507,0.8100857379920715,9.779761904761905,1.3927866695900022,0.029915276456643963,0.5389717167287875,0.19399093223745925,0.19399093223745925,0.5903817987790388,3.8296910324039186,26.992614920874153,0.8822908816880181,0.006058203421628623,26.05511919865359,0.16687544435792395,0.1924289888090793,-21.4913299395482,-1.03E9,-7.13E9,-1.22174E10,11975900000.0,1.6086E9,2.17875E9,1.6008E9,30.663945593424756,50.9648780741434,49.3232984973743,11.903230094377243,7.161794824055111,7.400153905348211,0.2791822243986044,1.0555202036271079
KO,2019-12-31,8.715154349859683,2.086061739943873,2.4487839101964455,1.9684284377923293,1.5154349859681946,4.4389616463985035,20.201356407857812,4.4389616463985035,7.650841908325538,2.5168536E11,2.7697436E11,28.215847533632285,6.753753018837545,24.036420590201505,29.902026850421766,13.25985775248933,13.25985775248933,7.432360865131756,24.187787966116495,26.45156718556012,32.906541523108,0.035441076111856484,0.03344254906205112,3.550919340393025,0.7802641784651717,2.208453410182517,0.7567196826456086,10.661733615221987,1.1738789237668161,0.02719665537955803,0.7673766816143498,0.32477325175763433,0.32477325175763433,0.0,5.097857838364168,18.14313534566699,0.6645569620253164,0.005393656416036065,14.43429358339642,0.16977511446269863,0.10326344913812065,-12.400432647333957,-6.562E9,2.217E9,-4.6989E10,,3.6835E9,1.0122E10,3.0725E9,38.89376375248216,282.43245092003554,84.36520965866337,9.384537899773356,1.29234441301273,4.326427937259544,0.4699436278383647,0.480355472404116
KO,2018-12-31,7.479690068091101,1.5106832589809815,1.7187133129842687,1.4024418877670815,2.0957971354778118,3.98708617046255,19.53885888706269,3.98708617046255,7.344447053298897,2.0383574E11,2.2527074E11,31.681028908921352,6.398660848819689,27.84641256830601,34.126191193705004,12.003753606972499,12.003753606972499,7.071532521346057,23.01969548334355,30.7746912568306,37.71484011384564,0.031564631403697904,0.029303006430570027,3.900535893056946,0.7959406844837531,2.1903740036787247,1.048283885980221,9.466811751904244,1.1377059372085794,0.03259487271466721,1.0326391047559837,0.3235497237569061,0.3235497237569061,0.0,5.434298440979956,23.64959168522643,0.8062360801781737,0.007063033651431442,11.641415181206632,0.16113199859241012,0.07731686214189579,-11.356186898332941,1.411E9,6.718E9,-3.5601E10,65959000000.0,3.396E9,8.932E9,2.766E9,38.91072325464591,276.9906542056075,85.77655055225148,9.380447585394581,1.3177339901477831,4.255242227042661,0.37889405806489607,0.31627142521718715
KO,2017-12-31,8.288857677902621,0.29213483146067415,1.6374063670411985,1.2453183520599251,1.4058988764044944,3.9962546816479403,20.574906367041198,3.9962546816479403,8.26802434456929,2.0253552E11,2.3100952E11,162.28807692307691,5.719726630895227,28.95432737669764,38.070586466165416,11.863608247422679,11.863608247422679,6.523849759954815,26.367939732907203,33.0249492494639,43.42284210526316,0.006161882123194983,0.02626699751233759,4.1485473289597,0.8057704559934468,3.250085606665906,1.3438626167536956,8.919143876337694,5.604967948717949,0.03120440305976947,5.064102564102564,0.3528946625247105,0.3528946625247105,0.0,4.176119402985075,21.140298507462685,0.7522388059701492,0.00618469358938153,5.125184555475626,0.12357088728542717,0.01419859834349686,-12.973607209737828,9.351E9,7.671E9,-3.4279E10,76393000000.0,3.5315E9,8.84E9,2.7105E9,37.798785653770125,240.87356668678336,73.10463186481594,9.656394873193346,1.5153177869227252,4.992843691148776,0.07310215557638237,0.3920880149812734
