symbol,date,investmentValuationRatios.priceBookValueRatio,investmentValuationRatios.priceToBookRatio,investmentValuationRatios.priceToSalesRatio,investmentValuationRatios.priceEarningsRatio,investmentValuationRatios.receivablesTurnover,investmentValuationRatios.priceToFreeCashFlowsRatio,investmentValuationRatios.priceToOperatingCashFlowsRatio,investmentValuationRatios.priceCashFlowRatio,investmentValuationRatios.priceEarningsToGrowthRatio,investmentValuationRatios.priceSalesRatio,investmentValuationRatios.dividendYield,investmentValuationRatios.enterpriseValueMultiple,investmentValuationRatios.priceFairValue,profitabilityIndicatorRatios.ebitperRevenue,profitabilityIndicatorRatios.ebtperEBIT,profitabilityIndicatorRatios.niperEBT,profitabilityIndicatorRatios.grossProfitMargin,profitabilityIndicatorRatios.operatingProfitMargin,profitabilityIndicatorRatios.pretaxProfitMargin,profitabilityIndicatorRatios.netProfitMargin,profitabilityIndicatorRatios.effectiveTaxRate,profitabilityIndicatorRatios.returnOnAssets,profitabilityIndicatorRatios.returnOnEquity,profitabilityIndicatorRatios.returnOnCapitalEmployed,profitabilityIndicatorRatios.nIperEBT,profitabilityIndicatorRatios.eBTperEBIT,profitabilityIndicatorRatios.eBITperRevenue,operatingPerformanceRatios.receivablesTurnover,operatingPerformanceRatios.payablesTurnover,operatingPerformanceRatios.inventoryTurnover,operatingPerformanceRatios.fixedAssetTurnover,operatingPerformanceRatios.assetTurnover,liquidityMeasurementRatios.currentRatio,liquidityMeasurementRatios.quickRatio,liquidityMeasurementRatios.cashRatio,liquidityMeasurementRatios.daysOfSalesOutstanding,liquidityMeasurementRatios.daysOfInventoryOutstanding,liquidityMeasurementRatios.operatingCycle,liquidityMeasurementRatios.daysOfPayablesOutstanding,liquidityMeasurementRatios.cashConversionCycle,debtRatios.debtRatio,debtRatios.debtEquityRatio,debtRatios.longtermDebtToCapitalization,debtRatios.totalDebtToCapitalization,debtRatios.interestCoverage,debtRatios.cashFlowToDebtRatio,debtRatios.companyEquityMultiplier,cashFlowIndicatorRatios.operatingCashFlowPerShare,cashFlowIndicatorRatios.freeCashFlowPerShare,cashFlowIndicatorRatios.cashPerShare,cashFlowIndicatorRatios.payoutRatio,cashFlowIndicatorRatios.receivablesTurnover,cashFlowIndicatorRatios.operatingCashFlowSalesRatio,cashFlowIndicatorRatios.freeCashFlowOperatingCashFlowRatio,cashFlowIndicatorRatios.cashFlowCoverageRatios,cashFlowIndicatorRatios.shortTermCoverageRatios,cashFlowIndicatorRatios.capitalExpenditureCoverageRatios,cashFlowIndicatorRatios.dividendpaidAndCapexCoverageRatios,cashFlowIndicatorRatios.dividendPayoutRatio
PG,2011-06-30,2.53552094822135,2.53552094822135,2.0884211291318935,14.615407306942444,13.156812749003985,17.372086649874056,13.031362708789963,13.031362708789963,4.203241239863242,2.0884211291318935,0.033447791633771796,10.809603344768439,2.53552094822135,0.19159631293983698,0.9602351751169553,0.7766804924616498,0.5061955692292784,0.19159631293983698,0.18397751910754734,0.14289175014232247,0.22331950753835011,0.0852667794209058,0.1734827429008397,0.14242623423163847,0.7766804924616498,0.9602351751169553,0.19159631293983698,13.156812749003985,5.0820244328097735,5.524867868274834,3.877283614333349,0.5967228992295127,0.804968306891877,0.33133037775253726,0.10141794599347818,27.742281277631754,66.06492837519623,93.80720965282799,71.82177197802199,-44.07949070039023,0.5084999349494774,1.0345877266510786,0.24471866183886087,2.2033000000099796E10,19.034897713598074,0.41328793652776913,2.0345877266510786,4.718616262482168,3.539586305278174,0.9871611982881597,0.4888530982453166,13.156812749003985,0.16026114657396529,0.7501322651349105,0.41328793652776913,1.3256186754834185,4.002117362371446,1.458282817149785,0.48885309824531664
PG,2010-06-30,2.88762720747408,2.88762720747408,2.24749712432542,13.930035175879395,14.796251171508903,13.641901422529797,11.038634146341463,11.038634146341463,4.144435491096507,2.24749712432542,0.03076438713643236,10.683565685608238,2.88762720747408,0.20295675086776965,0.9392047937082579,0.8464145676879112,0.5196356634320606,0.20295675086776965,0.1906179533304619,0.16134181256175734,0.2725460224629494,0.09936647629747526,0.20729504060938492,0.1542111849071133,0.8464145676879112,0.9392047937082579,0.20295675086776965,14.796251171508903,5.2294855881947315,5.93969298245614,4.1019538557472455,0.6158755422401149,0.7734947697883205,0.3382752656288609,0.11856519232353184,24.6684106513973,61.45098763153037,86.11939828292766,69.79653999314327,-45.128129341745975,0.5206519364603813,1.086166767037224,0.2579741301223445,2.1360000000092823E10,16.93551797040169,0.5387503352105122,2.086166767037224,5.54054054054054,4.483246001103144,0.992484831770546,0.42854899497487436,14.796251171508903,0.20360282753553421,0.8091712294673967,0.5387503352105122,1.8970727101038716,5.240299967394848,1.8852785923753665,0.4285489949748743
PG,2009-06-30,2.5858079841548074,2.5858079841548074,2.1369817932524056,12.198100748117,13.141535298149417,14.030792025657048,10.985567507989812,10.985567507989812,3.6465462651422524,2.1369817932524056,0.03077604913848539,9.074213598579295,2.5858079841548074,0.24157039664119748,0.9267015706806283,0.782573242471897,0.4955276814353144,0.20045896680313974,0.2238636659973401,0.17518971497118419,0.21742675752810298,0.09964919567168275,0.2119844750875643,0.17826078589847208,0.782573242471897,0.9267015706806283,0.24157039664119748,13.141535298149417,6.469899665551839,5.623546511627907,3.9407049635186517,0.5688073394495413,3.6545095627973203,0.3435811138798097,0.15471991197695867,27.7745325579576,64.90566037735849,92.68019293531609,56.41509433962264,-28.640561781665042,0.5299222000548827,1.1273074374428071,0.24575766951472022,2.0652000000162624E10,13.642857142857142,0.40352158390133075,2.127307437442807,5.118533927273568,4.007614103122364,1.6403050275685322,0.3754093480202441,13.141535298149417,0.1945262993193731,0.7829613244855553,0.40352158390133075,0.9141544117647059,-4.6074737492279185,8.26079734219269,0.37540934802024417
GIS,2019-05-26,4.3482083776313,4.3482083776313,1.8188006071674219,17.501247218577053,9.871349136669593,13.516540054639995,10.927836123975776,10.927836123975776,4.930900436430625,1.8188006071674219,0.03852393569681281,13.790094387755103,4.3482083776313,0.14917700353390415,0.7107595691402679,0.9801476344927861,0.34134193487180703,0.14917700353390415,0.10602898275739392,0.10392405663733606,0.20568169108600828,0.058207577247004434,0.24845134311432418,0.1092724579896717,0.9801476344927861,0.7107595691402679,0.14917700353390415,9.871349136669593,3.892085070600189,7.123965882126595,4.453210815378116,0.5600972395653444,0.5907211694487167,0.3120176094594404,0.06349564702064314,36.97569551502502,51.23550646357712,88.21120197860213,93.7800673364301,-56.80437182140507,0.7657184037833099,3.2683677085548233,0.6223359547734658,1.1624800000069561E10,4.821579149099271,0.2155698739757167,4.268367708554823,4.675216522318454,3.77981345769487,0.8374417055296469,0.6742169224624864,9.871349136669593,0.16643739771837868,0.8084788029925187,0.2155698739757167,2.010025062656642,5.221354166666667,1.6326411911824579,0.6742169224624864
GIS,2018-05-27,4.181520574489912,4.181520574489912,1.6314157200579402,12.05027498826842,9.190937755459535,11.576042915746292,9.038766631467793,9.038766631467793,3.2616605411699786,1.6314157200579402,0.044382334358913006,12.643117547392986,4.181520574489912,0.1594178038677543,0.7508069979675607,1.131104033970276,0.34481334654773704,0.1594178038677543,0.11969200274453,0.13538410713831922,0.030414012738853503,0.06958594566353186,0.347006236667698,0.1077780784379416,1.131104033970276,0.7508069979675607,0.1594178038677543,9.190937755459535,3.755334644235671,6.279929363049567,3.889207353231864,0.5139890282131662,0.5616665985644043,0.29154578515098273,0.054345605361010095,39.713031435033415,58.121672856325574,97.83470429135899,97.1950663731831,-57.48203493814968,0.799467737722048,3.9867287619481853,0.6735159331837659,1.2668700000078398E10,6.714744447417715,0.19910574119757793,4.986728761948185,4.925450762829404,3.845873786407767,0.7418515950069348,0.5348193336461755,9.190937755459535,0.18049096592208586,0.7808166138683562,0.19910574119757793,1.7755140303731016,4.562389593704834,1.6120063549704948,0.5348193336461755
GIS,2017-05-28,7.80150211418933,7.80150211418933,2.161623132178389,20.37051040723982,10.739686468646864,20.728173000184174,14.595651666450525,14.595651666450525,5.6121664289490845,2.161623132178389,0.03361852660106271,13.01123690851735,7.80150211418933,0.1643042804645386,0.7565461346633416,0.8536773794808405,0.35620174394038334,0.1643042804645386,0.12430376829408828,0.10611531517689086,0.3374536464771323,0.07598819031202149,0.3829801982485732,0.15571114805421737,0.8536773794808405,0.7565461346633416,0.1643042804645386,10.739686468646864,4.743843758845174,6.7781073065516315,4.235648236027877,0.7160906998707169,0.7618743903354093,0.4682036467321978,0.14371201320627297,33.98609457227365,53.84984089101034,87.83593546328399,76.94182577565633,-42.955731203382676,0.8015871560474221,4.03999630305691,0.6384619240151034,7.642900000048085E9,8.696712978651304,0.2804815946457151,5.03999630305691,3.9402146142054164,2.774484755578266,1.7739737693748936,0.6848265460030166,10.739686468646864,0.14810048784235394,0.704145592875978,0.2804815946457151,3.8255333223085826,3.380040911747516,1.2713932399010717,0.6848265460030166
GIS,2016-05-29,7.451325706867875,7.451325706867875,2.217974050751369,21.64282196300224,11.912471231300346,19.329926861352277,13.969323142444294,13.969323142444294,6.082536871723154,2.217974050751369,0.029172600588308215,13.311393756597798,7.451325706867875,0.1634597388170089,0.7170717293344168,0.8743175028330071,0.3519570611781611,0.1634597388170089,0.11721235759006467,0.1024808157893148,0.38899763057587305,0.07817688591259332,0.3442862358525009,0.16214306247604446,0.8743175028330071,0.7170717293344168,0.1634597388170089,11.912471231300346,5.244857073051551,7.592558534342506,4.42437760444492,0.762844102190924,0.7851317127644725,0.46429497278002674,0.15229226075338506,30.64015794144816,48.073386375493776,78.71354431694193,69.59198218677797,-38.95182424532981,0.7729305508859033,3.403938988276338,0.5887353081023365,7.057700000084285E9,8.911784068466096,0.32223597309186264,4.403938988276337,4.391050258807814,3.173317749206879,1.5660377358490567,0.6313774007305291,11.912471231300346,0.15877462552299992,0.7226785306867443,0.32223597309186264,2.3833605220228384,3.6059234882764293,1.4601887840088839,0.6313774007305291
GIS,2015-05-31,6.725200632417395,6.725200632417395,1.9060259893478841,27.514787521493492,12.486048158640227,18.35872486888112,13.215278433223219,13.215278433223219,7.789615819670119,1.9060259893478841,0.030285256344444275,15.710425420168066,6.725200632417395,0.11782556167507076,0.6443941655032975,0.9123711340206185,0.33744179055376256,0.11782556167507076,0.07592610449056454,0.06927278605582435,0.43836844464365754,0.05560335996721983,0.24442131806992615,0.12166166893126552,0.9123711340206185,0.6443941655032975,0.11782556167507076,12.486048158640227,6.936520190023753,7.58069959114803,4.660032246980149,0.8026724942520886,0.7741559477311303,0.35931780536185354,0.06834216069201039,29.23262791898039,48.148590458090425,77.38121837707081,52.62004434513873,-23.38741642615834,0.7725101868924856,3.395801228811015,0.6035749420837168,7.607700000073533E9,6.586239695624604,0.2953961966055227,4.395801228811015,4.214818498259572,3.0339797778882813,0.5720205536217471,0.833292393351347,12.486048158640227,0.14422896944464927,0.7198364008179959,0.2953961966055227,2.541783286685326,3.5693430656934306,1.4697416334315936,0.833292393351347
GIS,2014-05-25,5.029915835220665,5.029915835220665,1.8353002858801983,18.016604911203682,11.903230094377243,17.507054061251665,12.935652892561983,12.935652892561983,5.314517994923808,1.8353002858801983,0.029915276456643963,11.199134582815852,5.029915835220665,0.16512931612096307,0.7376073578142963,0.8363436325295681,0.35566400142940097,0.16512931612096307,0.12180059856166525,0.10186715504533882,0.40492344366003485,0.07882241625874352,0.2791822243986044,0.16687544435792395,0.8363436325295681,0.7376073578142963,0.16512931612096307,11.903230094377243,7.161794824055111,7.400153905348211,4.543392780131409,0.7737765546084154,0.8100857379920715,0.49744629851571864,0.1599151839218217,30.663945593424756,49.3232984973743,79.98724409079907,50.9648780741434,-20.300932480718643,0.7176667804386992,2.541914060108955,0.4957054551908815,6.423500000088016E9,9.779761904761905,0.3311137462373438,3.541914060108955,4.042316258351893,2.986796054724785,1.8983455297486478,0.5389717167287875,11.903230094377243,0.14187921561620584,0.7388823297914207,0.3311137462373438,2.0318247241324165,3.8296910324039186,1.5429924702453242,0.5389717167287875
GIS,2013-05-26,4.8293588321693,4.8293588321693,1.8128877411514508,17.368719275549807,12.121734979199346,13.936442195406773,11.012456596035543,11.012456596035543,5.286415449142002,1.8128877411514508,0.026925328578387343,11.294391534391535,4.8293588321693,0.16044694246122165,0.888877200364682,0.7318631898694229,0.36141914358532923,0.16044694246122165,0.14261762902200392,0.10437659290765777,0.29239812221389405,0.08187836525730427,0.2780492191481071,0.16423540523263516,0.7318631898694229,0.888877200364682,0.16044694246122165,12.121734979199346,7.975126475548061,7.344031057910062,4.583197957762822,0.7844514078912526,0.8120478286329549,0.4170271444492718,0.14004797975027863,30.111201129733715,49.7002255466864,79.81142667642011,45.76729925463869,-15.656098124904972,0.7055256421572954,2.395881418422709,0.470388861989316,5.926100000102787E9,8.999053329125907,0.39704724943686054,3.395881418422709,4.5112550107924765,3.564754856614246,1.143077397471477,0.46765847347994827,12.121734979199346,0.16462155608441495,0.7901913875598087,0.39704724943686054,2.0272985519296056,4.766248574686431,1.9750253121835977,0.4676584734799483
