symbol,date,year,investmentValuationRatios.priceBookValueRatio,investmentValuationRatios.priceToBookRatio,investmentValuationRatios.priceToSalesRatio,investmentValuationRatios.priceEarningsRatio,investmentValuationRatios.receivablesTurnover,investmentValuationRatios.priceToFreeCashFlowsRatio,investmentValuationRatios.priceToOperatingCashFlowsRatio,investmentValuationRatios.priceCashFlowRatio,investmentValuationRatios.priceEarningsToGrowthRatio,investmentValuationRatios.priceSalesRatio,investmentValuationRatios.dividendYield,investmentValuationRatios.enterpriseValueMultiple,investmentValuationRatios.priceFairValue,profitabilityIndicatorRatios.niperEBT,profitabilityIndicatorRatios.ebtperEBIT,profitabilityIndicatorRatios.ebitperRevenue,profitabilityIndicatorRatios.grossProfitMargin,profitabilityIndicatorRatios.operatingProfitMargin,profitabilityIndicatorRatios.pretaxProfitMargin,profitabilityIndicatorRatios.netProfitMargin,profitabilityIndicatorRatios.effectiveTaxRate,profitabilityIndicatorRatios.returnOnAssets,profitabilityIndicatorRatios.returnOnEquity,profitabilityIndicatorRatios.returnOnCapitalEmployed,profitabilityIndicatorRatios.nIperEBT,profitabilityIndicatorRatios.eBTperEBIT,profitabilityIndicatorRatios.eBITperRevenue,operatingPerformanceRatios.receivablesTurnover,operatingPerformanceRatios.payablesTurnover,operatingPerformanceRatios.inventoryTurnover,operatingPerformanceRatios.fixedAssetTurnover,operatingPerformanceRatios.assetTurnover,liquidityMeasurementRatios.currentRatio,liquidityMeasurementRatios.quickRatio,liquidityMeasurementRatios.cashRatio,liquidityMeasurementRatios.daysOfSalesOutstanding,liquidityMeasurementRatios.daysOfInventoryOutstanding,liquidityMeasurementRatios.operatingCycle,liquidityMeasurementRatios.daysOfPayablesOutstanding,liquidityMeasurementRatios.cashConversionCycle,debtRatios.debtRatio,debtRatios.debtEquityRatio,debtRatios.longtermDebtToCapitalization,debtRatios.totalDebtToCapitalization,debtRatios.interestCoverage,debtRatios.cashFlowToDebtRatio,debtRatios.companyEquityMultiplier,cashFlowIndicatorRatios.operatingCashFlowPerShare,cashFlowIndicatorRatios.freeCashFlowPerShare,cashFlowIndicatorRatios.cashPerShare,cashFlowIndicatorRatios.payoutRatio,cashFlowIndicatorRatios.receivablesTurnover,cashFlowIndicatorRatios.operatingCashFlowSalesRatio,cashFlowIndicatorRatios.freeCashFlowOperatingCashFlowRatio,cashFlowIndicatorRatios.cashFlowCoverageRatios,cashFlowIndicatorRatios.shortTermCoverageRatios,cashFlowIndicatorRatios.capitalExpenditureCoverageRatios,cashFlowIndicatorRatios.dividendpaidAndCapexCoverageRatios,cashFlowIndicatorRatios.dividendPayoutRatio
CMCSA,2018-12-31,2018,2.5060198567299232,2.5060198567299232,1.8989450516892927,15.29823544454863,8.511077089337176,12.357198925841768,7.386245215458699,7.386245215458699,3.087395935449983,1.8989450516892927,0.018677882311510526,9.681408118578407,2.5060198567299232,0.7696496522766041,0.8018307117681098,0.20113854000232786,0.27558805167871164,0.20113854000232786,0.161279058694065,0.12412837144338515,0.2217556751082535,0.046610034805549816,0.16381103989499113,0.0848309316720293,0.7696496522766041,0.8018307117681098,0.20113854000232786,8.511077089337176,8.060042382858489,0.0,2.126763732925265,0.3754986411531921,0.7915081694018766,0.5438539289207694,0.13817338695069376,42.88528892039743,0.0,42.88528892039743,45.28512167333703,-2.399832752939602,0.7154646302506318,2.514501556979878,0.5998334804814538,1.0734500000002399E11,5.366741953698475,0.2174364389715687,3.514501556979878,5.300392670157068,3.1681937172774868,0.8525305410122164,0.2857386412070582,8.511077089337176,0.25709206725427747,0.5977281145820472,0.2174364389715687,5.524556616643929,2.485880908532842,1.8510589669358526,0.2857386412070582
CMCSA,2017-12-31,2017,2.637210156546075,2.637210156546075,2.1405063530747936,7.965503213876905,9.890709103674233,15.264358390280941,8.453414941830586,8.453414941830586,1.651034125690432,2.1405063530747936,0.015934476636177263,8.70330936286495,2.637210156546075,1.4824435452290823,0.8518374381497749,0.21279842888578662,0.28753283013510633,0.21279842888578662,0.18126966850436552,0.2687220500201122,-0.4945829526171518,0.12149837656259194,0.3310789143806664,0.10875637893922172,1.4824435452290823,0.8518374381497749,0.21279842888578662,9.890709103674233,8.695062084897488,0.0,2.1971926176241228,0.45213400446110974,0.7448634107879969,0.5557719957330365,0.1589907703724317,36.90331968861652,0.0,36.90331968861652,41.9778486267477,-5.074528938131181,0.633022909991495,1.7249657464361718,0.46413284593995063,5.942200000003855E10,5.828580686973428,0.33154160728669685,2.7249657464361716,4.546091758708581,2.5176295666949873,0.7300339847068819,0.12692612485691643,9.890709103674233,0.25321202943473015,0.5538008690370508,0.33154160728669685,4.16887417218543,2.241151832460733,1.7214670634601463,0.12692612485691646
CMCSA,2016-12-31,2016,1.560560220973991,1.560560220973991,1.0469920276606595,9.681575618171363,10.10722815839095,8.33065809005443,4.375327442827443,4.375327442827443,1.0272341833139467,1.0469920276606595,0.030897598397743916,5.372536624143544,1.560560220973991,0.6057966975545183,0.8513553591553473,0.20968123079984577,0.2857231695334751,0.20968123079984577,0.17851323955573797,0.10814273099262466,0.36981815648296523,0.04817174515235457,0.1611886621062974,0.10605479193533168,0.6057966975545183,0.8513553591553473,0.20968123079984577,10.10722815839095,8.305133767172812,0.0,2.217830248531156,0.44544598337950136,0.7597399582075691,0.6049686556768052,0.15328534943115857,36.11276942402647,0.0,36.11276942402647,43.948720181090025,-7.835950757063557,0.7011468144044322,2.3461246130174445,0.5074103498342601,5.556600000004765E10,5.7304554724677095,0.3151721652524326,3.3461246130174445,7.983402489626556,4.1929460580912865,2.1049792531120333,0.2991374353076481,10.10722815839095,0.23929455368580774,0.5252079002079002,0.3151721652524326,3.510948905109489,2.106185002736727,1.6394001363326516,0.299137435307648
CMCSA,2015-12-31,2015,1.4687038206202527,1.4687038206202527,1.0303003623674674,9.40434644125934,10.804814385150813,7.468399649771379,4.088171264245394,4.088171264245394,1.0292861342331039,1.0303003623674674,0.03174513024231031,5.150080233406273,1.4687038206202527,0.6104546814238708,0.8358544818102263,0.21470943497517112,0.2944705408669977,0.21470943497517112,0.17946584351093814,0.10955576432693598,0.37084953634460066,0.04900524691728601,0.15617287493543017,0.10780614032723254,0.6104546814238708,0.8358544818102263,0.21470943497517112,10.804814385150813,8.458407079646017,0.0,2.213277885043814,0.4473087036392234,0.6768071294971945,0.51144240290461,0.1262515128176917,33.78123741779627,0.0,33.78123741779627,43.15233312408454,-9.371095706288273,0.6862115336126886,2.186860280472173,0.48382923673997413,4.899400000003458E10,5.92079940784604,0.35685372759924744,3.186860280472173,7.553499597747385,4.134754625905068,0.9658085277554304,0.2985422026215852,10.804814385150813,0.2520198631056234,0.5473958888060496,0.35685372759924744,5.177281499862145,2.2094364042828567,1.7170811997073885,0.2985422026215852
CMCSA,2014-12-31,2014,1.386786439263152,1.386786439263152,1.0628702290076337,8.72301909307876,10.880398671096346,7.674425196850394,4.313892003540868,4.313892003540868,0.9919678752057073,1.0628702290076337,0.030834937324638264,5.1224926929285,1.386786439263152,0.672282390693943,0.836352657004831,0.21670665212649945,0.29054162122864413,0.21670665212649945,0.1812431842966194,0.12184660123591422,0.31070998796630567,0.05259227182296864,0.15898009903056287,0.10501025160467557,0.672282390693943,0.836352657004831,0.21670665212649945,10.880398671096346,8.65431003902093,0.0,2.221917100119536,0.43162690866642817,0.7771970132107984,0.6222286042504308,0.22458357265939116,33.54656488549619,0.0,33.54656488549619,42.17551697989466,-8.628952094398471,0.6691895894915871,2.0228794748724175,0.45505954842444796,4.401700000004178E10,5.695070691631639,0.3513082058299125,3.0228794748724175,6.560201316298877,3.6875725900116145,1.7468060394889664,0.26897374701670645,10.880398671096346,0.24638313340603418,0.5621127176158158,0.3513082058299125,4.018259426132322,2.283692722371968,1.7516022327889187,0.2689737470167064
SIRI,2019-12-31,2019,-43.97036684782609,-43.97036684782609,4.152192712342828,35.407210065645515,,19.566015719467956,16.044714923153197,16.044714923153197,135.52921269662332,4.152192712342828,0.006983458165223057,18.835223109441053,-43.97036684782609,0.7635756056808688,0.726775956284153,0.2113163972286374,0.5659481652553247,0.2113163972286374,0.1535796766743649,0.11726969463690018,0.23642439431913115,0.081980446676832,-1.2418478260869565,0.20964867617107943,0.7635756056808688,0.726775956284153,0.2113163972286374,,845.75,307.54545454545456,4.793357933579336,0.6990761503273836,0.30458548436076527,0.032189492863650165,0.032189492863650165,0.0,1.1868164351167603,1.1868164351167603,0.431569612769731,-0.431569612769731,1.0660148892277335,-16.148097826086957,1.1035744441317197,1.1035453010692178,4.223076923076923,0.2571392146863845,-15.148097826086957,0.4481226394134637,0.36747389469006886,0.023550322150633192,0.24726477024070023,,0.2587888119065948,0.8200297471492315,0.2571392146863845,1008.5,5.556473829201102,3.424448217317487,0.2472647702407002
SIRI,2018-12-31,2018,-14.537789942435582,-14.537789942435582,4.577270081300474,22.462941645200715,58.89302553426,17.323903706594347,14.046885235091347,14.046885235091347,85.2337411073805,4.577270081300474,0.007626027076691569,16.344384833464343,-14.537789942435582,0.8277590607740252,0.8225922262859102,0.2992618562903721,0.9296988991961449,0.2992618562903721,0.2461704766083513,0.203769842507623,0.17224093922597486,0.14387996871549502,-0.6471899438665742,0.32158833293793104,0.8277590607740252,0.8225922262859102,0.2992618562903721,58.89302553426,93.5838523644752,18.275790611766826,3.814413050734864,0.7060905919388563,0.17063430047975545,0.01942106799282686,0.01942106799282686,0.0,19.97177620129854,19.97177620129854,3.900245510074294,-3.900245510074294,1.222314901643709,-5.4981240241045155,1.3585357214389806,1.3582920106281484,4.933108237424766,0.27299980269986146,-4.4981240241045155,0.4214457440864471,0.3417243653776805,0.012199262768368205,0.17130300120844327,58.89302553426,0.32585658704363357,0.8108383348808615,0.27299980269986146,545.5230635335074,5.286483386420693,3.375144713059804,0.1713030012084433
SIRI,2017-12-31,2017,-18.107429059095438,-18.107429059095438,5.086227507216879,42.58851619365713,59.72049272363004,17.602134415313927,14.870448332039047,14.870448332039047,167.9629873121476,5.086227507216879,0.006894464683886364,17.588136997592013,-18.107429059095438,0.5125007020199983,0.7704532490200284,0.3024562180917726,0.9934659618232119,0.3024562180917726,0.2330283759151165,0.11942720624707726,0.48749929798000174,0.07778591764519158,-0.4251716349251972,0.2979144622316278,0.5125007020199983,0.7704532490200284,0.3024562180917726,59.72049272363004,12.486086650228954,1.754938363285311,3.7088153539253716,0.6513249375043071,0.16689514725656715,0.024462544895727082,0.024462544895727082,0.0,207.9845125253893,207.9845125253893,29.232537801850597,-29.232537801850597,1.1829518040611455,-6.46592041074262,1.2920770986295966,1.291791591494759,4.7448499219247005,0.27505088679089784,-5.46592041074262,0.40012243525842184,0.33802718804507464,0.014883280040141859,0.29362502083629155,59.72049272363004,0.3420359220951244,0.8448093839745763,0.27505088679089784,363.48462291870715,6.44368857867139,3.8802644015624868,0.29362502083629155
SIRI,2016-12-31,2016,-29.55140748596933,-29.55140748596933,4.664965458959344,31.377024478069742,51.68182614159602,15.465200395398993,13.613689095802382,13.613689095802382,131.20445330475886,4.664965458959344,0.0020542053166229426,16.984965924165184,-29.55140748596933,0.6833015774142133,0.7622637346216716,0.28544273521990265,0.9918516628730651,0.28544273521990265,0.21758264536934796,0.14867456479883281,0.3166984225857868,0.0931997433653252,-0.9418167585209876,0.26844060180761214,0.6833015774142133,0.7622637346216716,0.28544273521990265,51.68182614159602,14.39507042253521,2.0076609536905172,3.587077364368021,0.6268707999342795,0.24081869114191293,0.08016897243162241,0.08016897243162241,0.0,181.80360549875252,181.80360549875252,25.35590235311384,-25.35590235311384,1.0989574060156717,-11.105357853070965,1.1568113956959651,1.1566412867758888,4.323734621480867,0.2939746580557702,-10.105357853070965,0.34964806133759063,0.3077877995952858,0.043509624673330555,0.06445485050265909,51.68182614159602,0.3426672539773022,0.8802788678931409,0.2939746580557702,313.44339106654513,8.352744268300386,6.771102131480694,0.06445485050265909
SIRI,2015-12-31,2015,-119.46661321032369,-119.46661321032369,4.35226771739002,39.02134468849809,49.34095571246572,17.932610112707014,15.988183683787884,15.988183683787884,178.38979889443343,4.35226771739002,-0,17.293052864940012,-119.46661321032369,0.5714625253934015,0.7567430906227942,0.25791532623874797,0.990651322149522,0.25791532623874797,0.19517564109689636,0.11153556475650855,0.42853747460659847,0.06334601851053269,-3.0615708957240932,0.21236951988000377,0.5714625253934015,0.7567430906227942,0.25791532623874797,49.34095571246572,15.043661971830986,1.9163041040592061,3.2288079491253714,0.5679445713017398,0.22507187099311954,0.04479815036088712,0.04479815036088712,0.0,190.47081265799082,190.47081265799082,24.2627094841307,-24.2627094841307,1.020690691369912,-49.3309127820723,1.0315495772980845,1.0315211211447728,3.9407428210348945,0.22833419413998074,-48.3309127820723,0.23142090891486458,0.20632802345812373,0.02080433327188405,0.0,49.34095571246572,0.27221777054033014,0.8915703616652372,0.22833419413998074,261.13581024349287,9.222570649111882,9.2225706491119,-0
