symbol,date,year,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
ABG,2009-12-31,2009,114062500.0,406250.0,3437500.0,3437500.0,2625000.0,7593750.0,43750000.0,7593750.0,12000000.0,354.24,282000354.24,2.724923076923077e-05,9.705205479452056e-08,3.2203636363636362e-06,3.2203636363636362e-06,1.4577777777777778e-06,1.4577777777777778e-06,0.07726037102465753,12.818197920000001,2.563639584,2.563639584,36698.28364950316,310523.93857271905,5.761316872427984,1.0,12.818181818181818,1.362876254180602,2.111111111111111,8.461538461538462,,0.0,0.0,0.0,0.0,,,,0.000547945205479452,8331363.699524227,0.04738154613466334,0.009285714285714286,-31476562.5,217000000.0,,-585000000.0,,105300000,223200000,783300000,7.9,17.78729008890352,59.97201185380309,46.20253164556962,20.52027027027027,6.086172344689379,0.053497942386831275,0.0
ABG,2010-12-31,2010,123000000.0,1187500.0,281250.0,281250.0,656250.0,8968750.0,45875000.0,8968750.0,11125000.0,589.44,326000589.44,1.5511578947368424e-05,1.4975609756097562e-07,6.549333333333334e-05,6.549333333333334e-05,2.0537979094076656e-06,2.0537979094076656e-06,0.08282535300813008,14.81820861090909,36.22228771555555,36.22228771555555,64467.96959826275,15268.72964169381,5.177700348432055,1.0,14.818181818181818,1.3811023622047245,6.666666666666667,0.23684210526315788,,0.0,0.0,0.0,0.012113055181695828,,,,0.0012703252032520325,15480109.465455985,0.07050528789659224,0.025885558583106268,-34921875.0,242000000.0,-18000000.0,-609000000.0,,116800000,234200000,804800000,9.458841463414634,18.877395801642834,60.18557955582598,38.588235294117645,19.33529411764706,6.064575645756458,0.13240418118466898,0.0
ABG,2011-12-31,2011,134.48742138364778,2.1352201257861636,-5.69496855345912,-6.39937106918239,0.3584905660377358,10.270440251572326,44.069182389937104,10.270440251572326,14.421383647798741,740622000.0,1187822000.0,10.907540500736376,0.17317604695208924,-4.089574820541137,-3.6394201474201475,2.267672994488671,2.267672994488671,0.2777426520448009,7.207657766990291,-6.558928768636113,-5.836963144963145,0.09167969625530974,-0.27476904547799014,3.345988977342315,0.7699027758207694,2.7135922330097086,1.2454816910262454,,-2.6671575846833577,,0.0,0.0,0.0,0.01268141468226011,-8.084821428571429,190.92410714285714,1.3794642857142858,0.0020576612808941475,22.21299487532995,0.09909334695441195,0.04845154845154845,-23.9748427672956,156200000.0,308600000.0,-300300000.0,,105300000,240600000,793550000,6.7423480721116755,18.76480017999269,53.32775543493546,54.13544303797468,19.451312910284464,6.84446583253128,0.20789957134109002,0.7044025157232704
ABG,2012-12-31,2012,149.2057877813505,2.643086816720257,-0.6655948553054662,-2.4790996784565915,0.19935691318327975,12.95176848874598,52.52090032154341,12.95176848874598,14.983922829581994,1066729999.9999999,1526530000.0,12.977250608272506,0.22988384371700102,-51.53285024154589,-13.835667963683527,2.648286991062562,2.648286991062562,0.3289722647242635,7.008861340679522,-73.74541062801933,-19.79935149156939,0.07705792468572178,-0.07227695855558577,3.124627606752731,0.7575538702299266,2.111111111111111,1.2649397281354193,,-0.2518248175182482,,0.0,0.0,0.0,0.01685325628987601,-0.3670212765957447,82.27482269503547,0.5656028368794326,0.0015300734866280198,27.753100588598933,0.1499546279491833,0.05032447655197747,-27.577170418006432,206600000.0,374800000.0,-272200000.0,,112800000,253750000,858050000,7.393918496648923,19.687233987669924,61.05772951221399,49.36489361702127,18.539933046389287,5.9779491133384735,0.20407149950347567,1.8135048231511255
ABG,2013-12-31,2013,173.77524429967426,3.553745928338762,1.6514657980456027,0.026058631921824105,0.1758957654723127,15.980456026058633,59.758957654723126,15.980456026058633,18.058631921824105,1464390000.0,2013390000.0,13.422456461961504,0.27449249283023114,28.883431952662722,1830.4875,2.9848960456583775,2.9848960456583775,0.37739976381937806,7.7289443378119005,39.71183431952663,2516.7375,0.07450201107628432,0.0005463025560130839,2.849571952710966,0.7402308588372339,2.107485604606526,1.3289379045792375,,0.46471127406049495,,0.0,0.0,0.0,0.028592608281266547,1.0160320641282565,106.91182364729458,0.6893787575150301,0.0016870044424450318,35.74613002901232,0.1643588770864947,0.05946800392456121,-30.537459283387623,274400000.0,436600000.0,-289400000.0,,113300000,256000000,917650000,6.499653226864608,17.49091398573159,62.86411360883026,56.15684210526316,20.867977528089888,5.806174286830793,0.2223807582551977,1.6254071661237786
ABG,2014-12-31,2014,196.24414715719064,3.7324414715719065,2.8160535117056855,0.8929765886287625,0.09698996655518395,14.879598662207357,69.83277591973244,14.879598662207357,23.65886287625418,2218879000.0,2923379000.0,19.882428315412184,0.37815140515022916,26.352482185273157,83.10408239700375,4.987365700157339,4.987365700157339,0.4982154847725685,9.47303629293584,34.71946555819478,109.48985018726592,0.05029566731669461,0.012033103202112419,3.926949876376714,0.7970346715328467,2.282890473104342,1.2262991067140525,,0.7544802867383512,,0.0,0.0,0.0,0.04744525547445255,1.4643478260869565,102.04695652173913,0.7026086956521739,0.0014656509364827787,35.34950778103273,0.15900599530801982,0.05344827586206897,-40.83444816053512,235600000.0,340900000.0,-470400000.0,,119300000,272000000,976800000,6.655929921434293,18.29282726252423,65.99122538516478,54.83831775700934,19.953175895765472,5.531038374717833,0.25084288604180716,1.9230769230769231
ABG,2015-12-31,2015,250.50570342205324,6.433460076045628,5.908745247148289,3.182509505703422,0.10646387832699619,11.958174904942966,80.90874524714829,11.958174904942966,36.2851711026616,1238204000.0,2189704000.0,7.317990543735224,0.18793983273378564,7.967850707850707,14.793357228195937,3.937055643879173,3.937055643879173,0.33236252143952155,6.254510139960011,14.090759330759331,26.161338112305856,0.1366495343255231,0.06759790793762578,6.331955484896661,0.863610737672926,2.7177949157383603,1.3326056757293114,,0.9184397163120568,,0.0,0.0,0.0,0.07719328678607051,2.1673640167364017,91.88702928870293,0.6764295676429568,0.0015178422354780443,41.60504679422593,0.21061551498343734,0.07951501480332722,-46.60076045627376,335200000.0,136500000.0,-648400000.0,,126200000,290050000,992400000,6.692469984669794,18.601628222523747,60.56589778380823,54.538907284768214,19.621938232161874,6.026493676406455,0.5379968203497615,2.726235741444867
ABG,2016-12-31,2016,290.12444444444446,7.431111111111111,6.3244444444444445,2.7066666666666666,0.1511111111111111,12.431111111111111,96.00444444444445,12.431111111111111,41.18666666666667,1460250000.0000002,2383550000.0,8.733552631578949,0.22369711081834615,10.261770906535489,23.977832512315274,5.220772255988559,5.220772255988559,0.36513833144397806,6.810142857142857,16.75017568517217,39.13875205254516,0.11450094161958567,0.04170518746789933,7.352163031819807,0.8802705363640255,2.638,1.2059009865146166,,0.8510765550239234,,0.0,0.0,0.0,0.07533924061469971,1.7481572481572483,80.19410319410319,0.6412776412776413,0.0018382916143264193,45.59036935338183,0.21751137102014295,0.0774038238970418,-57.934444444444445,227500000.0,103700000.0,-724000000.0,,135950000,303750000,981250000,7.8448328686540645,20.628896893455963,59.724360498070986,46.52744119743407,17.69362665803947,6.111409095988378,0.5977833392920987,3.617777777777778
ABG,2017-12-31,2017,310.40865384615387,6.6875,12.802884615384615,10.76923076923077,0.22596153846153846,18.951923076923077,103.2548076923077,18.951923076923077,42.09134615384615,1543360000.0,2414160000.0,11.095327102803738,0.23903972740648957,5.795568907247466,6.89,3.9151699644850333,3.9151699644850333,0.3739115619917912,7.054821741671537,9.065565152084115,10.7775,0.09012803234501347,0.14513788098693758,4.97843734145104,0.8327322102940552,2.544710695499708,1.2304857304857304,,1.9144500359453631,,0.0,0.0,0.0,0.08868332838290831,6.295508274231678,152.63593380614657,1.2884160756501182,0.002106404398668009,53.401050321887574,0.16103195995379282,0.06476696000372492,-58.90504807692308,243900000.0,185200000.0,-660400000.0,,130850000,305800000,946800000,7.3548362115697365,21.167648039106766,55.82527867274006,49.627209838585706,17.243295019157088,6.538256658595642,0.3528665651953323,2.0336538461538463
ABG,2018-12-31,2018,342.00995024875624,8.35820895522388,0.5024875621890548,-1.5024875621890548,0.4129353233830846,23.54228855721393,121.86069651741293,23.54228855721393,45.039800995024876,1411422000.0,2308422000.0,8.401321428571428,0.2053156639124869,139.7447524752475,-46.73582781456954,2.982717666948436,2.982717666948436,0.335799778889794,6.288264777989649,228.55663366336634,-76.43781456953643,0.1190288942640826,-0.02139686075461485,4.696111580726965,0.8244416413148327,2.4434758921274855,1.1915905777641371,,0.06011904761904762,,0.0,0.0,0.0,0.09126660235957558,0.2506203473945409,170.58064516129033,1.3945409429280398,0.0015274060281624579,66.53837808754304,0.16148265210832555,0.06858822568792357,-67.56716417910448,249700000.0,227200000.0,-669200000.0,,131600000,298400000,1067600000,6.987373443500524,18.87167758256229,67.51810652527983,52.2370820668693,19.341152815013405,5.405957287373548,0.35502958579881655,2.0049751243781095
